CD_GEOCODD,NM_UF,NM_LOCALID,LONG,LAT,ALT,WMO,UF,REGIAO
110001505,RONDÔNIA,ALTA FLORESTA D'OESTE,-61.999824,-11.935540,337,SIM_000000,RO,N
110002305,RONDÔNIA,ARIQUEMES,-63.033269,-9.908463,138,SIM_000001,RO,N
110003105,RONDÔNIA,CABIXI,-60.544314,-13.499763,236,SIM_000002,RO,N
110004905,RONDÔNIA,CACOAL,-61.442944,-11.433865,177,SIM_000003,RO,N
110005605,RONDÔNIA,CEREJEIRAS,-60.818426,-13.195033,262,SIM_000004,RO,N
110006405,RONDÔNIA,COLORADO DO OESTE,-60.555067,-13.130564,419,SIM_000005,RO,N
110007205,RONDÔNIA,CORUMBIARA,-60.948701,-12.997520,269,SIM_000006,RO,N
110008005,RONDÔNIA,COSTA MARQUES,-64.231654,-12.436014,145,SIM_000007,RO,N
110009805,RONDÔNIA,ESPIGÃO D'OESTE,-61.020173,-11.528555,262,SIM_000008,RO,N
110010605,RONDÔNIA,GUAJARÁ-MIRIM,-65.323952,-10.773884,133,SIM_000009,RO,N
110011405,RONDÔNIA,JARU,-62.476231,-10.435949,162,SIM_000010,RO,N
110012205,RONDÔNIA,JI-PARANÁ,-61.945095,-10.882051,157,SIM_000011,RO,N
110013005,RONDÔNIA,MACHADINHO D'OESTE,-61.999593,-9.425562,144,SIM_000012,RO,N
110014805,RONDÔNIA,NOVA BRASILÂNDIA D'OESTE,-62.308230,-11.721325,259,SIM_000013,RO,N
110015505,RONDÔNIA,OURO PRETO DO OESTE,-62.261055,-10.723574,252,SIM_000014,RO,N
110018905,RONDÔNIA,PIMENTA BUENO,-61.183666,-11.677537,186,SIM_000015,RO,N
110020505,RONDÔNIA,PORTO VELHO,-63.831446,-8.768892,86,SIM_000016,RO,N
110025405,RONDÔNIA,PRESIDENTE MÉDICI,-61.909439,-11.173205,178,SIM_000017,RO,N
110026205,RONDÔNIA,RIO CRESPO,-62.900010,-9.705537,124,SIM_000018,RO,N
110028805,RONDÔNIA,ROLIM DE MOURA,-61.785781,-11.722259,226,SIM_000019,RO,N
110029605,RONDÔNIA,SANTA LUZIA D'OESTE,-61.773305,-11.908423,265,SIM_000020,RO,N
110030405,RONDÔNIA,VILHENA,-60.138584,-12.741373,595,SIM_000021,RO,N
110032005,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,-62.720063,-11.699490,191,SIM_000022,RO,N
110033805,RONDÔNIA,NOVA MAMORÉ,-65.329149,-10.411771,150,SIM_000023,RO,N
110034605,RONDÔNIA,ALVORADA D'OESTE,-62.277275,-11.344130,182,SIM_000024,RO,N
110037905,RONDÔNIA,ALTO ALEGRE DOS PARECIS,-61.853077,-12.131777,396,SIM_000025,RO,N
110040305,RONDÔNIA,ALTO PARAÍSO,-63.317629,-9.716667,128,SIM_000026,RO,N
110045205,RONDÔNIA,BURITIS,-63.829679,-10.209805,153,SIM_000027,RO,N
110050205,RONDÔNIA,NOVO HORIZONTE DO OESTE,-61.994388,-11.709743,229,SIM_000028,RO,N
110060105,RONDÔNIA,CACAULÂNDIA,-62.903190,-10.338873,161,SIM_000029,RO,N
110070005,RONDÔNIA,CAMPO NOVO DE RONDÔNIA,-63.624991,-10.568416,206,SIM_000030,RO,N
110080905,RONDÔNIA,CANDEIAS DO JAMARI,-63.700020,-8.785021,84,SIM_000031,RO,N
110090805,RONDÔNIA,CASTANHEIRAS,-61.949161,-11.426842,214,SIM_000032,RO,N
110092405,RONDÔNIA,CHUPINGUAIA,-60.901848,-12.556841,340,SIM_000033,RO,N
110094005,RONDÔNIA,CUJUBIM,-62.587175,-9.378193,110,SIM_000034,RO,N
110100505,RONDÔNIA,GOVERNADOR JORGE TEIXEIRA,-62.740458,-10.612072,201,SIM_000035,RO,N
