Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,25.300000,1.464566,89.000000,7.524320,AP
2020-01-01 01:00:00,25.100000,1.452912,88.500000,6.776251,AP
2020-01-01 02:00:00,25.200000,1.367897,87.500000,6.307592,AP
2020-01-01 03:00:00,24.600000,1.268557,90.000000,5.624222,AP
2020-01-01 04:00:00,24.800000,1.152761,90.500000,5.430884,AP
2020-01-01 05:00:00,24.150000,1.005917,92.000000,4.806513,AP
2020-01-01 06:00:00,24.000000,0.977803,93.000000,4.643716,AP
2020-01-01 07:00:00,23.850000,0.999780,94.000000,5.251373,AP
2020-01-01 08:00:00,23.550000,0.915465,94.000000,4.310095,AP
2020-01-01 09:00:00,23.400000,0.904567,94.000000,4.493585,AP
2020-01-01 10:00:00,23.550000,0.935767,94.000000,4.427478,AP
2020-01-01 11:00:00,24.550000,0.946741,93.000000,4.989733,AP
2020-01-01 12:00:00,26.000000,1.009007,89.000000,7.229366,AP
2020-01-01 13:00:00,27.450000,0.922967,80.000000,7.729398,AP
2020-01-01 14:00:00,28.300000,1.682119,73.000000,10.176735,AP
2020-01-01 15:00:00,28.700000,2.525715,75.500000,13.117600,AP
2020-01-01 16:00:00,29.900000,2.532888,71.500000,15.357283,AP
2020-01-01 17:00:00,29.400000,2.758485,74.500000,14.711138,AP
2020-01-01 18:00:00,30.300000,2.855287,76.000000,15.015194,AP
2020-01-01 19:00:00,27.600000,2.642744,82.500000,14.432107,AP
2020-01-01 20:00:00,27.200000,2.583593,83.000000,13.373954,AP
2020-01-01 21:00:00,26.150000,2.356893,84.000000,13.590155,AP
2020-01-01 22:00:00,25.550000,1.891464,87.000000,11.708533,AP
2020-01-01 23:00:00,25.300000,1.659290,89.000000,10.261954,AP
2020-01-02 00:00:00,24.900000,1.575778,89.000000,10.185460,AP
2020-01-02 01:00:00,24.650000,1.414466,90.000000,8.952152,AP
2020-01-02 02:00:00,24.650000,1.267623,90.000000,7.861787,AP
2020-01-02 03:00:00,24.450000,1.179216,90.000000,7.250995,AP
2020-01-02 04:00:00,24.600000,1.275707,91.500000,6.824326,AP
2020-01-02 05:00:00,24.250000,1.066781,93.000000,6.238836,AP
2020-01-02 06:00:00,24.350000,0.914625,94.000000,5.558546,AP
2020-01-02 07:00:00,24.200000,0.824088,94.000000,5.035769,AP
2020-01-02 08:00:00,24.050000,0.788238,94.000000,4.661627,AP
2020-01-02 09:00:00,23.850000,0.738874,94.000000,4.332347,AP
2020-01-02 10:00:00,24.050000,0.819810,94.000000,4.370648,AP
2020-01-02 11:00:00,24.500000,1.087592,94.000000,6.408128,AP
2020-01-02 12:00:00,26.500000,1.184704,88.500000,8.486900,AP
2020-01-02 13:00:00,27.800000,1.146963,77.500000,8.687809,AP
2020-01-02 14:00:00,28.500000,1.952971,75.500000,11.127631,AP
2020-01-02 15:00:00,29.000000,2.337581,77.500000,11.812640,AP
2020-01-02 16:00:00,29.700000,1.847959,71.500000,11.945159,AP
2020-01-02 17:00:00,29.100000,2.228773,75.000000,11.900919,AP
2020-01-02 18:00:00,30.000000,2.434044,71.000000,13.182781,AP
2020-01-02 19:00:00,28.800000,1.967474,76.000000,12.454092,AP
2020-01-02 20:00:00,28.800000,1.955529,74.000000,11.480514,AP
2020-01-02 21:00:00,27.750000,1.793578,78.000000,11.840283,AP
2020-01-02 22:00:00,27.000000,1.655228,81.000000,10.793517,AP
2020-01-02 23:00:00,26.200000,1.557347,84.000000,9.514496,AP
2020-01-03 00:00:00,25.700000,1.426130,86.000000,8.180653,AP
2020-01-03 01:00:00,25.250000,1.340268,88.000000,8.109823,AP
2020-01-03 02:00:00,24.950000,1.172018,89.000000,6.796492,AP
2020-01-03 03:00:00,24.750000,1.081615,90.000000,6.152965,AP
2020-01-03 04:00:00,24.650000,0.948249,91.000000,5.599908,AP
2020-01-03 05:00:00,24.500000,0.870392,93.000000,4.888500,AP
2020-01-03 06:00:00,24.350000,0.779722,94.000000,4.701336,AP
2020-01-03 07:00:00,24.300000,0.831522,94.000000,4.320494,AP
2020-01-03 08:00:00,24.150000,0.833139,94.000000,4.311582,AP
2020-01-03 09:00:00,23.900000,0.792270,94.000000,4.008005,AP
2020-01-03 10:00:00,24.150000,0.828742,94.000000,3.996794,AP
