Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.800000,2.523016,77.000000,17.129831,BA
2020-01-01 01:00:00,24.200000,2.472201,80.000000,16.563892,BA
2020-01-01 02:00:00,23.800000,2.384605,82.000000,15.890925,BA
2020-01-01 03:00:00,23.500000,2.315669,83.000000,14.900305,BA
2020-01-01 04:00:00,23.000000,2.278982,85.000000,14.441221,BA
2020-01-01 05:00:00,22.800000,2.204957,86.000000,13.653077,BA
2020-01-01 06:00:00,22.700000,2.144610,86.500000,13.169775,BA
2020-01-01 07:00:00,22.400000,2.130575,88.000000,12.650279,BA
2020-01-01 08:00:00,22.150000,2.141878,89.000000,12.229198,BA
2020-01-01 09:00:00,22.400000,2.084028,88.000000,11.931013,BA
2020-01-01 10:00:00,24.100000,1.997896,82.000000,11.996097,BA
2020-01-01 11:00:00,25.800000,1.988857,74.000000,11.682027,BA
2020-01-01 12:00:00,27.200000,2.144029,66.000000,11.558090,BA
2020-01-01 13:00:00,28.650000,2.218181,59.000000,11.888816,BA
2020-01-01 14:00:00,29.800000,2.366654,54.000000,12.851797,BA
2020-01-01 15:00:00,30.700000,2.473895,50.000000,13.591267,BA
2020-01-01 16:00:00,31.200000,2.567211,48.000000,14.565383,BA
2020-01-01 17:00:00,31.400000,2.936931,45.000000,16.347874,BA
2020-01-01 18:00:00,31.100000,3.098370,46.000000,17.049266,BA
2020-01-01 19:00:00,30.800000,3.364450,46.000000,18.422207,BA
2020-01-01 20:00:00,29.600000,3.432609,51.000000,19.629860,BA
2020-01-01 21:00:00,27.600000,3.316440,60.000000,20.044642,BA
2020-01-01 22:00:00,26.300000,2.933662,69.000000,19.147126,BA
2020-01-01 23:00:00,25.600000,2.731574,74.000000,18.515060,BA
2020-01-02 00:00:00,25.000000,2.579770,77.000000,18.015453,BA
2020-01-02 01:00:00,24.400000,2.460220,79.000000,17.084328,BA
2020-01-02 02:00:00,23.800000,2.339765,82.000000,15.404845,BA
2020-01-02 03:00:00,23.500000,2.271768,84.000000,14.907162,BA
2020-01-02 04:00:00,23.200000,2.201012,85.000000,14.034402,BA
2020-01-02 05:00:00,23.000000,2.162276,86.000000,13.660760,BA
2020-01-02 06:00:00,22.600000,2.172240,87.000000,12.802619,BA
2020-01-02 07:00:00,22.200000,2.143545,89.000000,12.145811,BA
2020-01-02 08:00:00,22.000000,2.126229,89.000000,11.547405,BA
2020-01-02 09:00:00,22.400000,2.098150,89.000000,11.262887,BA
2020-01-02 10:00:00,24.000000,1.977035,82.000000,12.552246,BA
2020-01-02 11:00:00,25.900000,1.960185,73.000000,12.090000,BA
2020-01-02 12:00:00,27.500000,2.114480,65.000000,12.585335,BA
2020-01-02 13:00:00,28.900000,2.365990,59.000000,13.775648,BA
2020-01-02 14:00:00,30.000000,2.639346,54.000000,14.955511,BA
2020-01-02 15:00:00,30.800000,2.846211,50.000000,16.225999,BA
2020-01-02 16:00:00,31.300000,3.191225,47.500000,17.713531,BA
2020-01-02 17:00:00,31.400000,3.382800,46.000000,18.323953,BA
2020-01-02 18:00:00,30.900000,3.656050,47.000000,19.853014,BA
2020-01-02 19:00:00,30.100000,3.825803,51.500000,21.215899,BA
2020-01-02 20:00:00,29.000000,3.803458,56.000000,21.402504,BA
2020-01-02 21:00:00,27.400000,3.646171,62.500000,21.378122,BA
2020-01-02 22:00:00,26.300000,3.215802,70.000000,20.511453,BA
2020-01-02 23:00:00,25.600000,2.967861,74.000000,19.745239,BA
2020-01-03 00:00:00,25.000000,2.847679,78.000000,18.698856,BA
2020-01-03 01:00:00,24.500000,2.684692,80.000000,17.510364,BA
2020-01-03 02:00:00,24.000000,2.503613,82.000000,16.493199,BA
2020-01-03 03:00:00,23.600000,2.347739,84.000000,15.369771,BA
2020-01-03 04:00:00,23.200000,2.312124,84.000000,14.674934,BA
2020-01-03 05:00:00,23.000000,2.209246,86.000000,13.676839,BA
2020-01-03 06:00:00,22.500000,2.150987,87.000000,13.084298,BA
2020-01-03 07:00:00,22.300000,2.152502,88.000000,12.404788,BA
2020-01-03 08:00:00,22.200000,2.170570,89.000000,11.918047,BA
2020-01-03 09:00:00,22.400000,2.138978,89.000000,11.770760,BA
2020-01-03 10:00:00,24.100000,2.110498,82.500000,12.333686,BA
2020-01-03 11:00:00,25.700000,2.333098,74.500000,12.821486,BA
2020-01-03 12:00:00,27.300000,2.494508,66.000000,13.957056,BA
2020-01-03 13:00:00,28.700000,2.677469,60.000000,14.521628,BA
2020-01-03 14:00:00,29.800000,2.896359,56.000000,15.496419,BA
2020-01-03 15:00:00,30.350000,3.073312,52.000000,16.551868,BA
2020-01-03 16:00:00,30.600000,3.364813,50.000000,18.228953,BA
2020-01-03 17:00:00,30.800000,3.550823,48.000000,19.229817,BA
2020-01-03 18:00:00,30.300000,3.687682,49.000000,20.337136,BA
2020-01-03 19:00:00,29.800000,3.672622,53.000000,20.719889,BA
2020-01-03 20:00:00,28.600000,3.759392,58.000000,21.429048,BA
2020-01-03 21:00:00,27.100000,3.633782,66.000000,21.405339,BA
2020-01-03 22:00:00,26.100000,3.237889,72.000000,20.435653,BA
2020-01-03 23:00:00,25.300000,2.976585,76.000000,19.318364,BA
2020-01-04 00:00:00,24.600000,2.752852,78.000000,18.120463,BA
2020-01-04 01:00:00,24.100000,2.545772,80.000000,16.774291,BA
2020-01-04 02:00:00,23.700000,2.541395,82.000000,15.938950,BA
2020-01-04 03:00:00,23.300000,2.479517,84.000000,14.908653,BA
2020-01-04 04:00:00,23.100000,2.432594,85.500000,13.906080,BA
2020-01-04 05:00:00,22.600000,2.375235,87.000000,13.149598,BA
2020-01-04 06:00:00,22.400000,2.360480,88.500000,12.458370,BA
2020-01-04 07:00:00,22.350000,2.385041,89.000000,12.041187,BA
2020-01-04 08:00:00,22.200000,2.404112,91.000000,11.635786,BA
2020-01-04 09:00:00,22.400000,2.351824,90.000000,11.241286,BA
2020-01-04 10:00:00,23.900000,2.125275,83.000000,11.825774,BA
2020-01-04 11:00:00,25.500000,2.137647,74.500000,12.798291,BA
2020-01-04 12:00:00,27.100000,2.219417,67.000000,12.815851,BA
2020-01-04 13:00:00,28.500000,2.375428,61.500000,13.715617,BA
2020-01-04 14:00:00,29.300000,2.597915,55.000000,14.610954,BA
2020-01-04 15:00:00,30.000000,2.665667,53.000000,15.592807,BA
2020-01-04 16:00:00,30.600000,2.957142,50.000000,16.758153,BA
2020-01-04 17:00:00,30.650000,3.214677,49.000000,18.025601,BA
2020-01-04 18:00:00,30.400000,3.437113,52.000000,18.957698,BA
2020-01-04 19:00:00,29.600000,3.443363,55.000000,19.347909,BA
2020-01-04 20:00:00,28.150000,3.396900,60.000000,19.536648,BA
2020-01-04 21:00:00,26.700000,3.082546,70.000000,18.899704,BA
2020-01-04 22:00:00,25.600000,2.751472,76.000000,17.533016,BA
2020-01-04 23:00:00,24.900000,2.437118,80.500000,16.341886,BA
2020-01-05 00:00:00,24.300000,2.281017,83.000000,15.395444,BA
2020-01-05 01:00:00,23.800000,2.199849,85.000000,14.368486,BA
2020-01-05 02:00:00,23.400000,2.119544,86.000000,13.945176,BA
2020-01-05 03:00:00,23.000000,2.013722,87.000000,12.950771,BA
2020-01-05 04:00:00,22.800000,1.932902,89.000000,12.247422,BA
2020-01-05 05:00:00,22.600000,2.000149,90.000000,12.159354,BA
2020-01-05 06:00:00,22.300000,2.023341,91.000000,11.843796,BA
2020-01-05 07:00:00,22.100000,2.022478,91.000000,11.479867,BA
2020-01-05 08:00:00,21.900000,2.033398,91.000000,10.981945,BA
2020-01-05 09:00:00,22.200000,2.004160,91.000000,10.834109,BA
2020-01-05 10:00:00,23.700000,1.953679,85.000000,11.171969,BA
2020-01-05 11:00:00,25.200000,2.104853,77.000000,12.113247,BA
2020-01-05 12:00:00,26.700000,2.208809,70.000000,13.019741,BA
2020-01-05 13:00:00,28.100000,2.316555,63.000000,13.436489,BA
2020-01-05 14:00:00,29.000000,2.427109,58.000000,13.961546,BA
2020-01-05 15:00:00,29.900000,2.524263,54.500000,14.581982,BA
2020-01-05 16:00:00,30.300000,2.790913,52.000000,15.629451,BA
2020-01-05 17:00:00,30.400000,2.876826,52.000000,16.452742,BA
2020-01-05 18:00:00,30.000000,2.912493,53.000000,16.806605,BA
2020-01-05 19:00:00,29.800000,3.047256,54.000000,17.357005,BA
2020-01-05 20:00:00,28.300000,3.138903,60.000000,18.422082,BA
2020-01-05 21:00:00,26.800000,2.954619,68.000000,18.685475,BA
2020-01-05 22:00:00,25.900000,2.685341,75.000000,18.106555,BA
2020-01-05 23:00:00,25.250000,2.455544,78.000000,17.363521,BA
2020-01-06 00:00:00,24.700000,2.302812,81.000000,16.534562,BA
2020-01-06 01:00:00,24.200000,2.227951,83.000000,15.715899,BA
2020-01-06 02:00:00,23.800000,2.173203,84.000000,14.966978,BA
2020-01-06 03:00:00,23.300000,2.074919,85.000000,13.854427,BA
2020-01-06 04:00:00,23.000000,2.118798,87.000000,13.183400,BA
2020-01-06 05:00:00,22.700000,2.085703,88.000000,12.573579,BA
2020-01-06 06:00:00,22.250000,2.056480,89.000000,11.904506,BA
2020-01-06 07:00:00,22.100000,2.037892,90.000000,11.446626,BA
2020-01-06 08:00:00,21.900000,2.041904,91.000000,11.031613,BA
2020-01-06 09:00:00,22.200000,2.056269,91.000000,11.101080,BA
2020-01-06 10:00:00,23.600000,1.990927,84.000000,11.593474,BA
2020-01-06 11:00:00,25.200000,2.119270,75.000000,12.598977,BA
2020-01-06 12:00:00,26.800000,2.271935,68.000000,13.184650,BA
2020-01-06 13:00:00,28.050000,2.428726,62.000000,14.687674,BA
2020-01-06 14:00:00,29.050000,2.573946,58.000000,15.637752,BA
2020-01-06 15:00:00,29.900000,2.667911,54.000000,16.013076,BA
2020-01-06 16:00:00,30.150000,2.756899,52.000000,16.707910,BA
2020-01-06 17:00:00,30.600000,2.922233,51.000000,17.073980,BA
2020-01-06 18:00:00,29.900000,3.123280,54.000000,18.687141,BA
2020-01-06 19:00:00,29.400000,3.097147,54.000000,18.839660,BA
2020-01-06 20:00:00,28.300000,3.075862,59.000000,19.256945,BA
2020-01-06 21:00:00,26.900000,2.874579,67.000000,19.043101,BA
2020-01-06 22:00:00,25.950000,2.572140,73.000000,18.004848,BA
2020-01-06 23:00:00,25.000000,2.283955,78.000000,17.203737,BA
2020-01-07 00:00:00,24.500000,2.193301,81.000000,16.538028,BA
2020-01-07 01:00:00,23.900000,2.119732,82.500000,15.829666,BA
2020-01-07 02:00:00,23.600000,2.032926,85.000000,14.970843,BA
2020-01-07 03:00:00,23.200000,2.022741,86.000000,14.328650,BA
2020-01-07 04:00:00,22.950000,2.015879,87.000000,13.743497,BA
2020-01-07 05:00:00,22.600000,2.042962,88.000000,13.194765,BA
2020-01-07 06:00:00,22.400000,2.012405,89.000000,12.684264,BA
2020-01-07 07:00:00,22.150000,1.967323,90.000000,12.086952,BA
2020-01-07 08:00:00,21.900000,1.980109,91.000000,11.354388,BA
2020-01-07 09:00:00,22.200000,1.975283,91.000000,11.104423,BA
2020-01-07 10:00:00,23.650000,1.964494,84.000000,11.509156,BA
