Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.400000,2.272161,82.000000,10.723156,ES
2020-01-01 01:00:00,24.100000,2.159093,82.000000,9.519337,ES
2020-01-01 02:00:00,23.650000,2.158932,85.000000,8.708072,ES
2020-01-01 03:00:00,23.500000,2.178121,85.000000,8.465462,ES
2020-01-01 04:00:00,23.100000,2.137551,88.000000,8.523859,ES
2020-01-01 05:00:00,23.000000,1.954730,87.500000,8.414849,ES
2020-01-01 06:00:00,22.800000,2.103660,89.000000,8.992527,ES
2020-01-01 07:00:00,22.700000,2.014467,90.000000,8.715766,ES
2020-01-01 08:00:00,22.300000,2.017057,91.000000,8.685168,ES
2020-01-01 09:00:00,23.150000,1.972336,87.000000,9.787796,ES
2020-01-01 10:00:00,24.900000,2.394170,79.000000,10.829147,ES
2020-01-01 11:00:00,26.800000,2.715608,71.000000,11.923180,ES
2020-01-01 12:00:00,27.900000,2.929675,65.000000,11.710955,ES
2020-01-01 13:00:00,29.500000,2.892917,60.000000,12.107118,ES
2020-01-01 14:00:00,30.400000,2.754812,57.000000,11.418507,ES
2020-01-01 15:00:00,31.000000,2.613900,54.000000,12.297652,ES
2020-01-01 16:00:00,31.400000,2.638753,52.000000,12.248107,ES
2020-01-01 17:00:00,30.800000,2.555948,54.000000,12.410022,ES
2020-01-01 18:00:00,30.500000,2.593732,55.000000,13.179577,ES
2020-01-01 19:00:00,29.500000,2.787078,58.000000,14.683941,ES
2020-01-01 20:00:00,28.300000,2.998313,63.000000,14.614150,ES
2020-01-01 21:00:00,26.900000,2.743090,69.000000,13.290701,ES
2020-01-01 22:00:00,25.750000,2.513274,77.000000,12.371507,ES
2020-01-01 23:00:00,25.200000,2.371256,79.500000,11.331466,ES
2020-01-02 00:00:00,24.800000,2.312566,81.000000,10.182754,ES
2020-01-02 01:00:00,24.500000,2.163374,84.000000,9.237011,ES
2020-01-02 02:00:00,24.000000,2.030501,86.000000,8.680576,ES
2020-01-02 03:00:00,23.800000,1.969630,87.000000,8.184268,ES
2020-01-02 04:00:00,23.600000,1.943826,87.500000,8.575286,ES
2020-01-02 05:00:00,23.450000,1.965955,88.000000,9.153682,ES
2020-01-02 06:00:00,23.200000,2.038985,89.000000,9.487821,ES
2020-01-02 07:00:00,22.900000,2.048871,90.000000,9.142767,ES
2020-01-02 08:00:00,22.600000,1.927632,90.000000,8.748749,ES
2020-01-02 09:00:00,23.400000,1.925769,88.000000,8.963699,ES
2020-01-02 10:00:00,25.200000,2.280826,80.000000,10.411568,ES
2020-01-02 11:00:00,26.500000,2.546112,73.000000,10.335341,ES
2020-01-02 12:00:00,28.300000,2.817298,66.000000,9.997592,ES
2020-01-02 13:00:00,29.700000,2.916488,59.500000,10.530157,ES
2020-01-02 14:00:00,30.800000,2.845060,55.000000,11.290454,ES
2020-01-02 15:00:00,31.100000,2.786405,54.000000,10.725245,ES
2020-01-02 16:00:00,31.400000,2.843091,54.000000,12.069177,ES
2020-01-02 17:00:00,31.100000,2.855377,54.000000,11.716363,ES
2020-01-02 18:00:00,30.350000,3.310104,54.500000,13.477255,ES
2020-01-02 19:00:00,29.500000,3.402323,58.000000,14.367010,ES
2020-01-02 20:00:00,28.300000,3.414745,65.000000,13.142545,ES
2020-01-02 21:00:00,26.800000,2.919471,72.000000,10.767620,ES
2020-01-02 22:00:00,25.200000,2.628690,77.000000,9.776799,ES
2020-01-02 23:00:00,24.900000,2.398324,81.000000,8.770758,ES
2020-01-03 00:00:00,24.300000,2.249457,84.000000,8.373373,ES
2020-01-03 01:00:00,23.900000,2.273642,86.000000,8.395835,ES
2020-01-03 02:00:00,23.600000,2.225262,88.000000,8.579095,ES
2020-01-03 03:00:00,23.500000,2.038907,89.000000,8.098506,ES
2020-01-03 04:00:00,23.200000,2.065942,90.000000,7.564938,ES
2020-01-03 05:00:00,23.200000,2.152003,90.000000,8.014593,ES
2020-01-03 06:00:00,22.900000,2.022698,91.000000,8.082282,ES
2020-01-03 07:00:00,22.700000,2.003401,91.000000,7.733808,ES
2020-01-03 08:00:00,22.700000,1.920478,91.500000,7.389088,ES
2020-01-03 09:00:00,23.000000,1.985976,90.000000,8.341835,ES
2020-01-03 10:00:00,24.500000,2.223063,83.500000,9.875005,ES
2020-01-03 11:00:00,26.050000,2.582804,75.000000,10.750767,ES
2020-01-03 12:00:00,27.400000,2.731517,69.000000,10.446922,ES
2020-01-03 13:00:00,28.950000,2.926412,62.000000,10.556267,ES
2020-01-03 14:00:00,30.200000,2.831498,60.000000,10.027044,ES
2020-01-03 15:00:00,30.600000,2.626762,57.000000,9.954465,ES
2020-01-03 16:00:00,30.600000,2.658291,57.000000,10.004695,ES
2020-01-03 17:00:00,30.500000,2.634887,55.000000,11.432673,ES
2020-01-03 18:00:00,30.100000,3.164381,56.000000,14.200431,ES
2020-01-03 19:00:00,29.200000,3.185695,60.000000,14.671902,ES
2020-01-03 20:00:00,27.650000,3.318365,67.000000,14.665428,ES
2020-01-03 21:00:00,26.350000,2.796253,73.500000,12.978331,ES
2020-01-03 22:00:00,25.400000,2.500664,78.000000,10.457554,ES
2020-01-03 23:00:00,24.700000,2.184098,82.500000,9.473799,ES
2020-01-04 00:00:00,24.400000,2.180628,86.000000,8.938191,ES
2020-01-04 01:00:00,23.900000,2.024896,86.000000,8.707892,ES
2020-01-04 02:00:00,23.550000,1.903870,88.000000,8.229487,ES
2020-01-04 03:00:00,23.300000,1.802301,89.500000,8.115459,ES
2020-01-04 04:00:00,23.200000,1.716137,90.000000,7.819882,ES
2020-01-04 05:00:00,23.000000,1.682817,91.500000,7.520227,ES
2020-01-04 06:00:00,22.900000,1.697801,91.000000,7.426728,ES
2020-01-04 07:00:00,22.800000,1.699744,91.500000,6.821466,ES
2020-01-04 08:00:00,22.600000,1.758399,92.000000,6.889750,ES
2020-01-04 09:00:00,22.900000,1.804024,91.000000,7.821547,ES
2020-01-04 10:00:00,24.150000,2.136937,86.000000,10.002847,ES
2020-01-04 11:00:00,25.500000,2.499628,78.000000,11.792845,ES
2020-01-04 12:00:00,26.700000,2.741089,71.000000,14.202921,ES
2020-01-04 13:00:00,27.900000,2.857572,64.500000,14.621093,ES
2020-01-04 14:00:00,28.500000,3.077385,61.000000,14.677969,ES
2020-01-04 15:00:00,29.150000,3.052585,59.000000,14.528209,ES
2020-01-04 16:00:00,29.800000,3.155624,60.000000,14.708068,ES
2020-01-04 17:00:00,29.700000,3.110188,60.000000,14.092019,ES
2020-01-04 18:00:00,29.600000,2.989553,59.000000,13.938169,ES
2020-01-04 19:00:00,28.600000,2.974352,61.000000,14.368097,ES
2020-01-04 20:00:00,27.550000,2.891340,66.000000,14.170120,ES
2020-01-04 21:00:00,26.300000,2.549271,72.000000,12.911741,ES
2020-01-04 22:00:00,25.600000,2.374652,79.500000,11.978911,ES
2020-01-04 23:00:00,24.900000,2.188558,81.000000,10.716671,ES
2020-01-05 00:00:00,24.450000,2.126085,83.000000,9.792429,ES
2020-01-05 01:00:00,24.200000,2.057637,84.500000,9.285641,ES
2020-01-05 02:00:00,24.000000,2.103635,86.000000,9.025884,ES
2020-01-05 03:00:00,23.400000,2.046703,88.000000,8.609428,ES
2020-01-05 04:00:00,23.000000,2.142268,89.000000,8.657992,ES
2020-01-05 05:00:00,22.800000,2.066085,89.000000,8.427199,ES
2020-01-05 06:00:00,22.500000,2.042386,89.000000,8.324435,ES
2020-01-05 07:00:00,22.400000,2.024809,90.500000,7.988525,ES
2020-01-05 08:00:00,22.500000,1.964915,91.000000,7.736856,ES
2020-01-05 09:00:00,22.900000,2.076694,90.000000,8.686214,ES
2020-01-05 10:00:00,25.000000,2.232988,83.000000,9.916561,ES
2020-01-05 11:00:00,26.800000,2.328854,73.000000,9.204005,ES
2020-01-05 12:00:00,28.200000,2.549215,67.500000,9.752286,ES
2020-01-05 13:00:00,29.000000,2.662911,62.500000,9.823008,ES
2020-01-05 14:00:00,30.400000,2.678752,59.000000,10.296684,ES
2020-01-05 15:00:00,30.950000,2.633186,56.000000,10.105751,ES
2020-01-05 16:00:00,31.200000,2.398258,54.500000,10.716518,ES
2020-01-05 17:00:00,31.200000,2.661850,54.000000,11.371971,ES
2020-01-05 18:00:00,30.300000,2.658691,56.000000,13.154122,ES
2020-01-05 19:00:00,29.550000,2.805032,59.000000,12.968182,ES
2020-01-05 20:00:00,28.300000,2.540797,63.000000,12.714885,ES
2020-01-05 21:00:00,27.000000,2.344647,71.000000,11.631956,ES
2020-01-05 22:00:00,26.000000,2.250064,76.000000,10.830148,ES
2020-01-05 23:00:00,25.400000,2.195689,79.000000,9.493889,ES
2020-01-06 00:00:00,25.200000,2.084899,82.000000,8.590706,ES
2020-01-06 01:00:00,24.700000,2.066695,83.000000,8.259968,ES
2020-01-06 02:00:00,24.400000,2.078883,84.000000,8.290344,ES
2020-01-06 03:00:00,23.800000,2.088206,86.000000,8.491184,ES
2020-01-06 04:00:00,23.500000,2.036809,87.000000,8.279271,ES
2020-01-06 05:00:00,23.200000,1.994091,89.000000,8.051858,ES
2020-01-06 06:00:00,22.950000,1.992666,89.500000,8.061030,ES
2020-01-06 07:00:00,23.000000,2.059986,91.000000,7.948358,ES
2020-01-06 08:00:00,22.650000,2.101645,91.000000,8.359389,ES
2020-01-06 09:00:00,23.300000,2.172138,89.000000,9.010681,ES
2020-01-06 10:00:00,25.200000,2.249103,82.000000,9.693098,ES
2020-01-06 11:00:00,26.600000,2.411106,71.500000,10.585152,ES
2020-01-06 12:00:00,28.100000,2.566796,64.000000,10.104608,ES
2020-01-06 13:00:00,29.600000,2.780254,58.000000,9.977510,ES
2020-01-06 14:00:00,30.300000,2.989357,56.500000,10.731037,ES
2020-01-06 15:00:00,30.950000,2.908738,54.000000,11.445420,ES
2020-01-06 16:00:00,31.100000,2.968512,53.000000,12.933032,ES
2020-01-06 17:00:00,30.400000,2.927799,54.000000,14.292105,ES
2020-01-06 18:00:00,30.200000,3.203667,55.000000,15.656633,ES
2020-01-06 19:00:00,29.100000,3.204667,59.000000,15.663634,ES
2020-01-06 20:00:00,28.100000,3.014413,64.000000,15.107506,ES
2020-01-06 21:00:00,26.600000,2.616991,70.500000,12.753930,ES
2020-01-06 22:00:00,25.650000,2.381293,77.000000,11.581689,ES
2020-01-06 23:00:00,25.000000,2.235055,80.500000,10.926664,ES
2020-01-07 00:00:00,24.700000,2.146599,82.000000,9.927995,ES
2020-01-07 01:00:00,24.300000,2.084970,84.000000,8.426985,ES
2020-01-07 02:00:00,24.100000,2.117229,85.000000,8.434093,ES
2020-01-07 03:00:00,23.700000,2.051540,87.000000,7.516581,ES
2020-01-07 04:00:00,23.400000,2.052040,88.000000,7.341118,ES
2020-01-07 05:00:00,22.900000,2.045354,89.500000,7.457743,ES
2020-01-07 06:00:00,22.700000,1.993196,91.000000,7.348390,ES
2020-01-07 07:00:00,22.400000,1.977243,92.000000,7.496797,ES
2020-01-07 08:00:00,22.400000,1.951473,93.000000,7.603809,ES
2020-01-07 09:00:00,22.850000,2.042907,92.000000,8.485123,ES
2020-01-07 10:00:00,24.600000,2.415856,84.000000,11.248961,ES
2020-01-07 11:00:00,26.400000,2.553468,72.000000,12.621663,ES
2020-01-07 12:00:00,27.700000,2.648289,65.000000,12.768888,ES
2020-01-07 13:00:00,29.100000,2.806600,60.500000,13.197348,ES
2020-01-07 14:00:00,29.900000,2.815579,56.000000,13.294445,ES
2020-01-07 15:00:00,30.800000,2.907814,54.000000,13.936335,ES
2020-01-07 16:00:00,30.850000,2.834689,54.000000,13.964157,ES
2020-01-07 17:00:00,30.700000,3.128101,53.000000,16.045435,ES
2020-01-07 18:00:00,30.100000,3.231142,56.000000,16.471796,ES
2020-01-07 19:00:00,29.500000,3.525507,59.000000,17.601334,ES
2020-01-07 20:00:00,28.600000,3.404241,64.500000,17.864942,ES
2020-01-07 21:00:00,26.700000,2.871661,71.000000,15.586719,ES
2020-01-07 22:00:00,25.900000,2.638199,77.000000,13.977447,ES
2020-01-07 23:00:00,25.200000,2.341981,80.000000,12.023713,ES
2020-01-08 00:00:00,24.700000,2.238469,83.000000,10.340114,ES
2020-01-08 01:00:00,24.200000,2.206061,85.000000,9.598399,ES
2020-01-08 02:00:00,23.900000,2.160706,86.000000,9.578185,ES
2020-01-08 03:00:00,23.500000,2.160221,87.000000,9.267580,ES
2020-01-08 04:00:00,23.000000,2.152072,89.000000,9.122323,ES
2020-01-08 05:00:00,22.900000,2.083139,89.500000,8.824952,ES
2020-01-08 06:00:00,22.600000,2.130160,91.000000,8.893650,ES
2020-01-08 07:00:00,22.500000,2.154648,92.000000,9.001766,ES
2020-01-08 08:00:00,22.300000,2.198251,91.000000,9.131007,ES
2020-01-08 09:00:00,22.900000,2.221694,91.000000,10.184860,ES
2020-01-08 10:00:00,25.050000,2.565360,81.000000,12.243535,ES
2020-01-08 11:00:00,26.700000,2.694594,71.000000,13.729782,ES
2020-01-08 12:00:00,27.700000,2.962359,64.000000,14.283087,ES
2020-01-08 13:00:00,28.800000,3.115650,59.000000,14.589585,ES
2020-01-08 14:00:00,30.000000,3.195069,55.000000,14.374174,ES
2020-01-08 15:00:00,30.500000,3.266936,53.000000,15.078660,ES
2020-01-08 16:00:00,30.900000,3.214975,53.000000,15.101931,ES
2020-01-08 17:00:00,30.750000,3.241826,53.000000,16.244267,ES
2020-01-08 18:00:00,30.250000,3.358787,56.000000,15.939032,ES
2020-01-08 19:00:00,29.000000,3.213788,61.000000,16.631451,ES
2020-01-08 20:00:00,28.100000,3.246689,66.000000,16.387080,ES
2020-01-08 21:00:00,26.800000,2.868866,71.500000,14.701872,ES
2020-01-08 22:00:00,25.600000,2.588695,78.000000,13.275553,ES
2020-01-08 23:00:00,24.850000,2.267607,81.000000,10.764474,ES
2020-01-09 00:00:00,24.400000,2.190544,84.000000,10.225400,ES
2020-01-09 01:00:00,24.000000,2.231248,85.000000,9.724164,ES
2020-01-09 02:00:00,23.650000,2.255574,87.500000,9.675449,ES
2020-01-09 03:00:00,23.300000,2.258050,88.000000,10.121408,ES
2020-01-09 04:00:00,22.950000,2.242134,90.000000,10.077673,ES
2020-01-09 05:00:00,22.600000,2.297337,91.000000,10.009684,ES
2020-01-09 06:00:00,22.400000,2.283076,92.000000,10.380388,ES
2020-01-09 07:00:00,22.400000,2.277792,93.000000,10.451820,ES
2020-01-09 08:00:00,22.200000,2.313346,93.000000,10.020685,ES
2020-01-09 09:00:00,22.600000,2.235849,93.000000,10.384230,ES
2020-01-09 10:00:00,24.700000,2.500630,85.000000,12.061536,ES
2020-01-09 11:00:00,26.600000,2.742900,73.000000,13.430670,ES
2020-01-09 12:00:00,27.800000,2.999201,67.000000,14.195392,ES
2020-01-09 13:00:00,29.000000,3.137907,61.500000,15.048678,ES
2020-01-09 14:00:00,29.900000,3.088128,58.500000,15.000336,ES
2020-01-09 15:00:00,30.100000,3.067014,56.000000,14.024151,ES
2020-01-09 16:00:00,30.300000,3.057147,57.000000,14.806289,ES
2020-01-09 17:00:00,30.000000,2.914697,58.000000,14.981347,ES
2020-01-09 18:00:00,29.500000,2.938004,59.000000,14.937821,ES
2020-01-09 19:00:00,28.950000,3.092921,63.000000,15.406951,ES
2020-01-09 20:00:00,28.000000,3.024821,67.000000,15.212126,ES
2020-01-09 21:00:00,26.800000,2.612042,72.000000,13.978891,ES
2020-01-09 22:00:00,25.700000,2.400761,78.000000,12.242540,ES
2020-01-09 23:00:00,25.100000,2.265943,81.000000,11.178019,ES
2020-01-10 00:00:00,24.500000,2.179461,84.500000,10.067446,ES
2020-01-10 01:00:00,24.300000,2.209135,85.000000,9.311025,ES
2020-01-10 02:00:00,24.000000,2.166197,86.000000,8.527882,ES
