Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.000000,1.690880,86.000000,7.189723,MT
2020-01-01 01:00:00,23.600000,1.525999,88.000000,6.199574,MT
2020-01-01 02:00:00,23.200000,1.492183,89.000000,5.881536,MT
2020-01-01 03:00:00,23.200000,1.548118,90.000000,5.708388,MT
2020-01-01 04:00:00,22.900000,1.489075,91.000000,5.453027,MT
2020-01-01 05:00:00,22.800000,1.455503,92.000000,4.792349,MT
2020-01-01 06:00:00,22.400000,1.449697,92.000000,4.444683,MT
2020-01-01 07:00:00,22.300000,1.425859,93.000000,4.506286,MT
2020-01-01 08:00:00,22.200000,1.417299,93.000000,4.448231,MT
2020-01-01 09:00:00,22.050000,1.451454,93.000000,4.408487,MT
2020-01-01 10:00:00,22.400000,1.408110,93.000000,4.795280,MT
2020-01-01 11:00:00,23.600000,1.562793,90.000000,6.156303,MT
2020-01-01 12:00:00,25.300000,1.807701,84.000000,7.877626,MT
2020-01-01 13:00:00,26.900000,1.983689,77.000000,9.162620,MT
2020-01-01 14:00:00,28.200000,2.203671,72.000000,10.168909,MT
2020-01-01 15:00:00,28.900000,2.306607,68.000000,10.616314,MT
2020-01-01 16:00:00,29.500000,2.522014,65.000000,11.165669,MT
2020-01-01 17:00:00,29.800000,2.759794,62.000000,12.048624,MT
2020-01-01 18:00:00,30.000000,2.877624,63.000000,12.901832,MT
2020-01-01 19:00:00,29.400000,2.966368,65.000000,13.304342,MT
2020-01-01 20:00:00,28.500000,3.110320,69.000000,13.445357,MT
2020-01-01 21:00:00,27.500000,2.913434,73.000000,12.672150,MT
2020-01-01 22:00:00,25.900000,2.473504,79.000000,10.395838,MT
2020-01-01 23:00:00,24.600000,1.953928,85.000000,8.483487,MT
2020-01-02 00:00:00,24.200000,1.748689,87.000000,7.707649,MT
2020-01-02 01:00:00,23.800000,1.573494,89.000000,6.538444,MT
2020-01-02 02:00:00,23.500000,1.508594,90.000000,6.072383,MT
2020-01-02 03:00:00,23.200000,1.522480,91.000000,5.777955,MT
2020-01-02 04:00:00,22.900000,1.543373,92.000000,5.859260,MT
2020-01-02 05:00:00,22.750000,1.499795,93.000000,5.396091,MT
2020-01-02 06:00:00,22.600000,1.522180,93.000000,5.322145,MT
2020-01-02 07:00:00,22.500000,1.473204,93.000000,5.190180,MT
2020-01-02 08:00:00,22.350000,1.482251,93.000000,5.053192,MT
2020-01-02 09:00:00,22.200000,1.506095,93.500000,4.807722,MT
2020-01-02 10:00:00,22.600000,1.445373,93.000000,5.082879,MT
2020-01-02 11:00:00,23.850000,1.630494,89.000000,6.650520,MT
2020-01-02 12:00:00,25.500000,1.838402,82.000000,8.045924,MT
2020-01-02 13:00:00,27.000000,2.037269,76.000000,8.998372,MT
2020-01-02 14:00:00,28.200000,2.141570,71.000000,9.982068,MT
2020-01-02 15:00:00,29.300000,2.519405,67.000000,11.242912,MT
2020-01-02 16:00:00,29.900000,2.966948,65.000000,12.833483,MT
2020-01-02 17:00:00,30.100000,2.990585,64.000000,13.218511,MT
2020-01-02 18:00:00,29.650000,3.308596,64.000000,13.863718,MT
2020-01-02 19:00:00,28.900000,3.335203,67.000000,14.102532,MT
2020-01-02 20:00:00,27.800000,3.195218,70.000000,13.596811,MT
2020-01-02 21:00:00,26.800000,2.840139,76.000000,12.401363,MT
2020-01-02 22:00:00,25.500000,2.327976,81.000000,10.326080,MT
2020-01-02 23:00:00,24.400000,1.943850,86.000000,8.296833,MT
2020-01-03 00:00:00,23.900000,1.702109,88.000000,7.084711,MT
2020-01-03 01:00:00,23.500000,1.693147,89.000000,6.337430,MT
2020-01-03 02:00:00,23.300000,1.585410,91.000000,5.912659,MT
2020-01-03 03:00:00,23.000000,1.626697,92.000000,5.937496,MT
2020-01-03 04:00:00,22.700000,1.608668,92.000000,5.571128,MT
2020-01-03 05:00:00,22.600000,1.507451,93.000000,5.265853,MT
2020-01-03 06:00:00,22.400000,1.431109,93.000000,4.820914,MT
2020-01-03 07:00:00,22.300000,1.467960,93.000000,4.595095,MT
2020-01-03 08:00:00,22.200000,1.437170,94.000000,4.437833,MT
2020-01-03 09:00:00,22.000000,1.417747,94.000000,3.883063,MT
2020-01-03 10:00:00,22.300000,1.401215,94.000000,4.292190,MT
2020-01-03 11:00:00,23.500000,1.640907,91.000000,5.999792,MT
2020-01-03 12:00:00,25.100000,1.979147,86.000000,7.784861,MT
2020-01-03 13:00:00,26.600000,2.272464,79.000000,9.299066,MT
2020-01-03 14:00:00,27.900000,2.495008,73.000000,10.206861,MT
2020-01-03 15:00:00,28.800000,2.575360,69.000000,10.780929,MT
2020-01-03 16:00:00,29.700000,2.844998,66.000000,12.041630,MT
2020-01-03 17:00:00,29.900000,3.013682,65.000000,12.574165,MT
2020-01-03 18:00:00,29.800000,3.179194,64.000000,13.193105,MT
2020-01-03 19:00:00,29.250000,3.276286,65.000000,14.109494,MT
2020-01-03 20:00:00,28.300000,3.197230,69.000000,14.058516,MT
2020-01-03 21:00:00,27.300000,2.866999,71.000000,12.508885,MT
2020-01-03 22:00:00,26.000000,2.464145,78.000000,10.278781,MT
2020-01-03 23:00:00,24.500000,2.099101,85.000000,8.380184,MT
2020-01-04 00:00:00,24.200000,1.963713,87.000000,7.454233,MT
2020-01-04 01:00:00,23.750000,1.787910,89.000000,6.564592,MT
2020-01-04 02:00:00,23.400000,1.714337,90.000000,6.192994,MT
2020-01-04 03:00:00,23.300000,1.648266,91.000000,5.611144,MT
