Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.700000,1.714583,89.000000,8.747126,PA
2020-01-01 01:00:00,24.400000,1.643456,90.000000,8.578256,PA
2020-01-01 02:00:00,24.150000,1.582818,91.000000,7.989467,PA
2020-01-01 03:00:00,24.000000,1.492792,91.000000,7.892537,PA
2020-01-01 04:00:00,23.700000,1.449037,92.000000,7.663565,PA
2020-01-01 05:00:00,23.700000,1.480645,92.000000,7.534379,PA
2020-01-01 06:00:00,23.450000,1.397015,92.000000,7.492524,PA
2020-01-01 07:00:00,23.400000,1.353806,93.000000,7.502586,PA
2020-01-01 08:00:00,23.250000,1.324862,93.000000,7.260532,PA
2020-01-01 09:00:00,23.200000,1.337481,93.000000,7.056875,PA
2020-01-01 10:00:00,23.400000,1.358993,93.000000,7.176938,PA
2020-01-01 11:00:00,24.400000,1.640852,90.000000,7.774914,PA
2020-01-01 12:00:00,25.850000,1.898608,83.000000,8.553444,PA
2020-01-01 13:00:00,27.100000,2.040776,77.000000,8.973878,PA
2020-01-01 14:00:00,28.350000,2.089788,72.000000,9.164837,PA
2020-01-01 15:00:00,29.000000,2.211789,69.000000,9.501621,PA
2020-01-01 16:00:00,29.750000,2.354078,66.000000,10.702003,PA
2020-01-01 17:00:00,29.700000,2.370006,66.000000,11.322974,PA
2020-01-01 18:00:00,29.600000,2.435923,66.500000,12.380834,PA
2020-01-01 19:00:00,29.400000,2.504818,67.000000,12.855772,PA
2020-01-01 20:00:00,28.700000,2.449336,71.000000,12.665718,PA
2020-01-01 21:00:00,27.400000,2.221494,76.000000,11.675614,PA
2020-01-01 22:00:00,26.100000,1.823574,82.000000,9.919359,PA
2020-01-01 23:00:00,25.400000,1.552620,85.000000,9.460087,PA
2020-01-02 00:00:00,25.100000,1.492853,87.000000,8.814048,PA
2020-01-02 01:00:00,24.700000,1.448740,89.000000,7.962121,PA
2020-01-02 02:00:00,24.300000,1.394715,90.000000,7.683938,PA
2020-01-02 03:00:00,24.200000,1.335872,91.000000,7.925761,PA
2020-01-02 04:00:00,24.000000,1.346564,91.000000,7.955057,PA
2020-01-02 05:00:00,23.800000,1.336905,92.000000,7.461539,PA
2020-01-02 06:00:00,23.700000,1.318732,92.000000,7.479839,PA
2020-01-02 07:00:00,23.600000,1.255683,92.000000,7.488825,PA
2020-01-02 08:00:00,23.400000,1.306119,93.000000,7.226062,PA
2020-01-02 09:00:00,23.300000,1.324340,93.000000,7.110666,PA
2020-01-02 10:00:00,23.700000,1.287990,92.000000,7.527087,PA
2020-01-02 11:00:00,24.900000,1.444597,89.000000,7.687736,PA
2020-01-02 12:00:00,26.400000,1.818343,81.000000,8.229602,PA
2020-01-02 13:00:00,27.850000,2.057568,76.000000,9.467456,PA
2020-01-02 14:00:00,28.800000,2.264941,70.000000,10.589939,PA
2020-01-02 15:00:00,29.600000,2.371220,68.000000,11.142617,PA
2020-01-02 16:00:00,29.950000,2.533724,66.000000,12.018875,PA
2020-01-02 17:00:00,30.100000,2.608356,66.000000,12.811816,PA
2020-01-02 18:00:00,29.850000,2.887016,67.000000,13.755200,PA
2020-01-02 19:00:00,29.500000,2.957457,68.000000,14.544466,PA
2020-01-02 20:00:00,28.650000,2.763583,70.000000,14.258951,PA
2020-01-02 21:00:00,27.300000,2.537271,76.000000,13.224987,PA
2020-01-02 22:00:00,26.200000,2.122822,82.000000,11.435945,PA
2020-01-02 23:00:00,25.400000,1.845122,85.000000,10.458773,PA
2020-01-03 00:00:00,25.000000,1.666108,87.000000,9.822632,PA
2020-01-03 01:00:00,24.700000,1.568078,88.000000,9.158999,PA
2020-01-03 02:00:00,24.500000,1.475947,89.500000,8.746406,PA
2020-01-03 03:00:00,24.150000,1.397874,91.000000,8.268417,PA
2020-01-03 04:00:00,24.000000,1.352875,91.000000,7.951155,PA
2020-01-03 05:00:00,23.800000,1.352042,92.000000,7.704343,PA
2020-01-03 06:00:00,23.700000,1.323491,92.000000,7.398974,PA
2020-01-03 07:00:00,23.500000,1.305911,92.000000,7.309076,PA
2020-01-03 08:00:00,23.400000,1.334068,93.000000,7.234948,PA
2020-01-03 09:00:00,23.300000,1.331208,93.000000,7.092228,PA
2020-01-03 10:00:00,23.700000,1.401466,93.000000,7.298175,PA
2020-01-03 11:00:00,24.950000,1.763621,88.000000,8.271756,PA
2020-01-03 12:00:00,26.200000,2.026412,82.500000,9.420823,PA
2020-01-03 13:00:00,27.400000,2.373559,76.000000,10.457231,PA
2020-01-03 14:00:00,28.600000,2.582900,71.000000,11.368629,PA
2020-01-03 15:00:00,29.000000,2.718744,68.000000,12.119846,PA
2020-01-03 16:00:00,29.800000,2.804861,66.000000,12.673729,PA
2020-01-03 17:00:00,29.900000,3.014356,65.000000,13.391394,PA
2020-01-03 18:00:00,29.600000,2.913545,67.000000,13.790239,PA
2020-01-03 19:00:00,29.400000,2.821922,68.000000,13.757647,PA
2020-01-03 20:00:00,28.200000,2.838709,72.000000,13.645084,PA
2020-01-03 21:00:00,27.300000,2.444223,76.000000,12.523102,PA
2020-01-03 22:00:00,26.300000,2.036448,82.000000,11.002810,PA
2020-01-03 23:00:00,25.600000,1.844657,86.000000,10.204455,PA
2020-01-04 00:00:00,25.200000,1.695447,87.000000,9.229347,PA
2020-01-04 01:00:00,24.800000,1.623603,88.000000,8.757924,PA
2020-01-04 02:00:00,24.400000,1.595171,89.000000,8.676198,PA
2020-01-04 03:00:00,24.100000,1.521729,90.000000,8.365107,PA
2020-01-04 04:00:00,24.000000,1.483811,90.000000,8.046981,PA
2020-01-04 05:00:00,23.800000,1.482428,91.000000,7.482790,PA
2020-01-04 06:00:00,23.600000,1.477273,91.000000,7.483792,PA
2020-01-04 07:00:00,23.500000,1.455147,92.000000,7.473400,PA
2020-01-04 08:00:00,23.350000,1.434645,92.000000,7.422407,PA
2020-01-04 09:00:00,23.300000,1.447701,92.000000,7.303368,PA
2020-01-04 10:00:00,23.600000,1.389225,92.000000,7.313606,PA
2020-01-04 11:00:00,24.700000,1.603736,87.500000,7.840745,PA
2020-01-04 12:00:00,26.100000,1.888133,82.000000,8.235670,PA
2020-01-04 13:00:00,27.450000,2.002792,76.000000,8.674863,PA
2020-01-04 14:00:00,28.500000,2.167180,71.000000,9.111026,PA
2020-01-04 15:00:00,29.300000,2.240901,67.500000,10.032000,PA
2020-01-04 16:00:00,29.900000,2.352430,65.000000,10.673027,PA
2020-01-04 17:00:00,30.100000,2.478032,64.000000,11.917564,PA
2020-01-04 18:00:00,29.900000,2.585383,64.500000,12.606954,PA
2020-01-04 19:00:00,29.700000,2.549404,65.500000,12.760042,PA
2020-01-04 20:00:00,29.150000,2.522821,69.000000,12.521738,PA
2020-01-04 21:00:00,27.900000,2.248745,75.000000,11.765201,PA
2020-01-04 22:00:00,26.500000,1.918669,80.000000,10.417883,PA
