Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,26.500000,2.637827,71.000000,17.694027,PI
2020-01-01 01:00:00,25.800000,2.418949,77.000000,17.041623,PI
2020-01-01 02:00:00,25.500000,2.213486,79.000000,16.155425,PI
2020-01-01 03:00:00,24.600000,2.067392,81.000000,15.445538,PI
2020-01-01 04:00:00,24.300000,2.055203,82.000000,14.591530,PI
2020-01-01 05:00:00,24.050000,1.876154,84.000000,14.211741,PI
2020-01-01 06:00:00,23.800000,1.826168,86.000000,13.301813,PI
2020-01-01 07:00:00,23.600000,1.737625,86.000000,12.938632,PI
2020-01-01 08:00:00,23.300000,1.693657,87.500000,12.023253,PI
2020-01-01 09:00:00,23.400000,1.607334,88.000000,11.325200,PI
2020-01-01 10:00:00,24.700000,1.727005,81.000000,12.596691,PI
2020-01-01 11:00:00,26.200000,2.038569,75.000000,13.426240,PI
2020-01-01 12:00:00,28.000000,2.206893,68.000000,13.731527,PI
2020-01-01 13:00:00,29.200000,2.282306,61.000000,13.958896,PI
2020-01-01 14:00:00,30.300000,2.420208,56.000000,14.185905,PI
2020-01-01 15:00:00,31.100000,2.787484,52.000000,15.106021,PI
2020-01-01 16:00:00,31.900000,3.151260,48.000000,16.225244,PI
2020-01-01 17:00:00,32.300000,3.333122,47.500000,17.350830,PI
2020-01-01 18:00:00,32.500000,3.247306,46.000000,17.211333,PI
2020-01-01 19:00:00,32.100000,3.482920,47.000000,18.141732,PI
2020-01-01 20:00:00,31.200000,3.528276,53.000000,19.463667,PI
2020-01-01 21:00:00,29.450000,3.289046,62.000000,19.568924,PI
2020-01-01 22:00:00,27.700000,2.860571,69.000000,18.523027,PI
2020-01-01 23:00:00,27.100000,2.568611,70.500000,17.758609,PI
2020-01-02 00:00:00,26.400000,2.279437,75.000000,15.990036,PI
2020-01-02 01:00:00,25.750000,2.072633,79.000000,14.334989,PI
2020-01-02 02:00:00,25.250000,1.986474,81.000000,13.416968,PI
2020-01-02 03:00:00,24.850000,1.796074,81.000000,12.815472,PI
2020-01-02 04:00:00,24.500000,1.722873,84.000000,12.413133,PI
2020-01-02 05:00:00,24.200000,1.632765,85.000000,11.525158,PI
2020-01-02 06:00:00,23.900000,1.596473,86.500000,10.885193,PI
2020-01-02 07:00:00,23.500000,1.620202,88.000000,10.473646,PI
2020-01-02 08:00:00,23.500000,1.535101,89.000000,10.046735,PI
2020-01-02 09:00:00,23.500000,1.541886,89.000000,9.782221,PI
2020-01-02 10:00:00,24.800000,1.499169,83.000000,10.752759,PI
2020-01-02 11:00:00,26.300000,1.790753,75.000000,12.266820,PI
2020-01-02 12:00:00,27.900000,1.982684,67.500000,12.741839,PI
2020-01-02 13:00:00,29.550000,2.253975,60.000000,13.620310,PI
2020-01-02 14:00:00,30.900000,2.525866,55.000000,14.942931,PI
2020-01-02 15:00:00,31.800000,2.427924,50.000000,14.460821,PI
2020-01-02 16:00:00,32.200000,2.516239,48.000000,14.674374,PI
2020-01-02 17:00:00,32.700000,3.053007,45.000000,16.871771,PI
2020-01-02 18:00:00,32.900000,3.337384,45.500000,18.222336,PI
2020-01-02 19:00:00,32.600000,3.559296,46.000000,19.881185,PI
2020-01-02 20:00:00,31.200000,3.577194,51.000000,20.383847,PI
2020-01-02 21:00:00,29.750000,3.304216,59.000000,20.097393,PI
2020-01-02 22:00:00,27.800000,2.805070,65.000000,18.715545,PI
2020-01-02 23:00:00,27.400000,2.397122,69.000000,17.343590,PI
2020-01-03 00:00:00,26.800000,2.092609,72.500000,16.152290,PI
2020-01-03 01:00:00,26.300000,1.954889,75.500000,15.432630,PI
2020-01-03 02:00:00,25.700000,1.820169,78.000000,14.431877,PI
2020-01-03 03:00:00,25.200000,1.627246,80.000000,13.618174,PI
2020-01-03 04:00:00,24.900000,1.599033,82.000000,13.216100,PI
2020-01-03 05:00:00,24.400000,1.581203,85.000000,12.735614,PI
2020-01-03 06:00:00,24.000000,1.611682,86.000000,12.531307,PI
2020-01-03 07:00:00,23.700000,1.556161,85.000000,12.060645,PI
2020-01-03 08:00:00,23.750000,1.511776,87.000000,11.485267,PI
2020-01-03 09:00:00,23.500000,1.444088,87.500000,10.739311,PI
2020-01-03 10:00:00,25.000000,1.667092,83.000000,11.650762,PI
2020-01-03 11:00:00,26.600000,2.071520,75.500000,13.169111,PI
2020-01-03 12:00:00,28.200000,2.486493,68.000000,14.601053,PI
2020-01-03 13:00:00,29.300000,2.826953,63.000000,15.826560,PI
2020-01-03 14:00:00,30.600000,3.115024,59.000000,16.511909,PI
2020-01-03 15:00:00,31.250000,3.477725,55.000000,17.979660,PI
2020-01-03 16:00:00,31.800000,3.746453,51.500000,18.820583,PI
2020-01-03 17:00:00,32.050000,4.087096,53.000000,20.508727,PI
2020-01-03 18:00:00,31.600000,4.302312,54.000000,21.512083,PI
2020-01-03 19:00:00,31.250000,4.186325,56.000000,21.802592,PI
2020-01-03 20:00:00,29.700000,4.049078,61.000000,21.490875,PI
2020-01-03 21:00:00,28.100000,3.437555,67.000000,20.008269,PI
2020-01-03 22:00:00,27.200000,3.012414,73.500000,19.355118,PI
2020-01-03 23:00:00,26.500000,2.649258,76.500000,18.143311,PI
2020-01-04 00:00:00,26.050000,2.363650,78.000000,17.052200,PI
2020-01-04 01:00:00,25.700000,2.164208,81.000000,16.154753,PI
2020-01-04 02:00:00,24.800000,2.054499,83.000000,15.094958,PI
2020-01-04 03:00:00,24.400000,1.922786,84.500000,14.331647,PI
2020-01-04 04:00:00,24.100000,1.860066,86.000000,13.740184,PI
2020-01-04 05:00:00,23.900000,1.817582,87.000000,12.901613,PI
2020-01-04 06:00:00,23.600000,1.750035,88.000000,13.668103,PI
2020-01-04 07:00:00,23.300000,1.715008,88.000000,12.883826,PI
2020-01-04 08:00:00,23.200000,1.684620,89.000000,12.649111,PI
2020-01-04 09:00:00,23.000000,1.594644,90.000000,9.960867,PI
2020-01-04 10:00:00,24.300000,1.643241,85.500000,11.252203,PI
2020-01-04 11:00:00,25.800000,1.968094,78.000000,12.939840,PI
2020-01-04 12:00:00,27.500000,2.372630,70.500000,13.666673,PI
2020-01-04 13:00:00,28.700000,2.704135,65.000000,14.784872,PI
2020-01-04 14:00:00,29.900000,2.880284,61.000000,15.392079,PI
2020-01-04 15:00:00,30.600000,3.118517,56.500000,16.188520,PI
2020-01-04 16:00:00,31.450000,3.615702,52.000000,17.629535,PI
2020-01-04 17:00:00,31.500000,3.911098,53.500000,19.644615,PI
2020-01-04 18:00:00,31.300000,4.092065,54.000000,20.371796,PI
2020-01-04 19:00:00,30.700000,4.363191,55.000000,21.685125,PI
2020-01-04 20:00:00,29.600000,4.002374,63.500000,21.154622,PI
2020-01-04 21:00:00,27.800000,3.532379,70.000000,20.051895,PI
2020-01-04 22:00:00,26.800000,2.992477,76.000000,18.599615,PI
2020-01-04 23:00:00,26.100000,2.598072,78.000000,17.317463,PI
2020-01-05 00:00:00,25.750000,2.383003,79.500000,16.508894,PI
2020-01-05 01:00:00,25.100000,2.123365,83.000000,15.645886,PI
2020-01-05 02:00:00,24.700000,1.933426,83.000000,14.207456,PI
2020-01-05 03:00:00,24.400000,1.768717,85.000000,13.679427,PI
2020-01-05 04:00:00,24.000000,1.650620,86.000000,12.882124,PI
2020-01-05 05:00:00,23.800000,1.662978,87.000000,12.359613,PI
2020-01-05 06:00:00,23.600000,1.667065,87.000000,11.604222,PI
2020-01-05 07:00:00,23.200000,1.727227,88.000000,11.288088,PI
2020-01-05 08:00:00,23.250000,1.780141,89.000000,10.736052,PI
2020-01-05 09:00:00,23.350000,1.651245,89.000000,10.433861,PI
2020-01-05 10:00:00,24.200000,1.695714,85.000000,11.590949,PI
2020-01-05 11:00:00,26.100000,1.913281,76.000000,12.333098,PI
2020-01-05 12:00:00,27.800000,2.204976,69.000000,12.990850,PI
2020-01-05 13:00:00,29.200000,2.359304,63.000000,13.570504,PI
2020-01-05 14:00:00,30.200000,2.537795,56.000000,14.519138,PI
2020-01-05 15:00:00,31.200000,2.838123,52.500000,15.200223,PI
2020-01-05 16:00:00,31.900000,3.144017,50.500000,16.661255,PI
2020-01-05 17:00:00,32.150000,3.473075,48.000000,18.761109,PI
2020-01-05 18:00:00,31.850000,3.674859,49.000000,19.337447,PI
2020-01-05 19:00:00,31.500000,3.699264,50.000000,19.612142,PI
2020-01-05 20:00:00,30.650000,3.724032,55.000000,21.188611,PI
2020-01-05 21:00:00,28.600000,3.372003,62.000000,20.711647,PI
2020-01-05 22:00:00,27.150000,3.028239,68.000000,20.339851,PI
2020-01-05 23:00:00,26.400000,2.715864,73.000000,19.333467,PI
2020-01-06 00:00:00,25.800000,2.405960,76.500000,18.056501,PI
2020-01-06 01:00:00,25.350000,2.300353,79.000000,17.098595,PI
2020-01-06 02:00:00,24.800000,2.077276,80.000000,15.704563,PI
2020-01-06 03:00:00,24.500000,1.974997,83.000000,15.051946,PI
2020-01-06 04:00:00,24.300000,1.989028,84.000000,13.954360,PI
2020-01-06 05:00:00,24.000000,1.960038,86.000000,13.191145,PI
2020-01-06 06:00:00,23.600000,1.968506,87.000000,12.742839,PI
2020-01-06 07:00:00,23.250000,1.898176,88.000000,12.445075,PI
2020-01-06 08:00:00,23.200000,1.899463,89.000000,12.440947,PI
2020-01-06 09:00:00,23.050000,1.832358,89.000000,11.589660,PI
2020-01-06 10:00:00,24.100000,1.575409,85.000000,12.697050,PI
2020-01-06 11:00:00,25.600000,1.925149,79.000000,14.134722,PI
2020-01-06 12:00:00,27.000000,2.231260,72.000000,15.250234,PI
2020-01-06 13:00:00,28.400000,2.592492,67.000000,16.452409,PI
2020-01-06 14:00:00,29.400000,2.782411,61.000000,16.772386,PI
2020-01-06 15:00:00,30.100000,3.089552,57.000000,17.508906,PI
2020-01-06 16:00:00,31.000000,3.312502,56.500000,18.589161,PI
2020-01-06 17:00:00,31.150000,3.501241,56.000000,19.087747,PI
2020-01-06 18:00:00,30.550000,3.598672,58.000000,20.049377,PI
2020-01-06 19:00:00,30.000000,3.561009,58.500000,20.382826,PI
2020-01-06 20:00:00,29.150000,3.589973,62.000000,20.711711,PI
2020-01-06 21:00:00,27.900000,3.234428,69.000000,20.815938,PI
2020-01-06 22:00:00,26.600000,2.668383,76.000000,19.989277,PI
2020-01-06 23:00:00,25.900000,2.298914,80.000000,18.904406,PI
2020-01-07 00:00:00,25.300000,1.965800,81.000000,17.195020,PI
2020-01-07 01:00:00,24.650000,1.733743,84.000000,15.955150,PI
2020-01-07 02:00:00,24.300000,1.653074,87.000000,15.210684,PI
2020-01-07 03:00:00,24.000000,1.755114,88.000000,14.716972,PI
2020-01-07 04:00:00,23.900000,1.741429,88.000000,14.048611,PI
2020-01-07 05:00:00,23.700000,1.702053,89.000000,13.230224,PI
2020-01-07 06:00:00,23.500000,1.725930,90.000000,12.784630,PI
2020-01-07 07:00:00,23.400000,1.656349,91.000000,11.894312,PI
2020-01-07 08:00:00,23.100000,1.870082,91.000000,11.673939,PI
2020-01-07 09:00:00,23.000000,1.769724,91.000000,11.369804,PI
2020-01-07 10:00:00,24.400000,1.727166,88.000000,13.462736,PI
2020-01-07 11:00:00,25.900000,1.900914,80.000000,14.199760,PI
2020-01-07 12:00:00,27.300000,2.147702,74.000000,14.646135,PI
2020-01-07 13:00:00,28.500000,2.514772,66.000000,16.015575,PI
2020-01-07 14:00:00,29.600000,2.893330,62.000000,16.924778,PI
2020-01-07 15:00:00,30.400000,3.060956,59.000000,17.985517,PI
2020-01-07 16:00:00,31.200000,3.107629,56.000000,18.519681,PI
2020-01-07 17:00:00,31.900000,3.358438,53.500000,19.163449,PI
2020-01-07 18:00:00,31.200000,3.557083,57.500000,19.829684,PI
2020-01-07 19:00:00,30.500000,3.488760,59.000000,19.757214,PI
2020-01-07 20:00:00,29.600000,3.296757,63.500000,19.809194,PI
2020-01-07 21:00:00,28.100000,3.024166,69.000000,19.800041,PI
2020-01-07 22:00:00,26.900000,2.601304,76.000000,19.059521,PI
2020-01-07 23:00:00,26.150000,2.287562,79.500000,17.808365,PI
2020-01-08 00:00:00,25.500000,1.996215,81.500000,16.708977,PI
2020-01-08 01:00:00,25.000000,1.910726,84.000000,15.910934,PI
2020-01-08 02:00:00,24.500000,1.771089,85.000000,14.532025,PI
2020-01-08 03:00:00,24.150000,1.789629,87.000000,14.006229,PI
2020-01-08 04:00:00,23.900000,1.784646,89.000000,13.767779,PI
2020-01-08 05:00:00,23.600000,1.775613,89.000000,12.758505,PI
2020-01-08 06:00:00,23.400000,1.956544,89.500000,12.721875,PI
2020-01-08 07:00:00,23.250000,1.927623,91.000000,11.901602,PI
2020-01-08 08:00:00,23.050000,1.979307,90.000000,12.039105,PI
2020-01-08 09:00:00,22.900000,1.890678,91.000000,11.670393,PI
2020-01-08 10:00:00,24.150000,1.789309,87.000000,13.186818,PI
2020-01-08 11:00:00,25.800000,1.887187,78.000000,14.335289,PI
2020-01-08 12:00:00,27.400000,2.137990,69.000000,14.906507,PI
2020-01-08 13:00:00,28.800000,2.393795,63.000000,15.647476,PI
2020-01-08 14:00:00,29.600000,2.684964,60.000000,16.897152,PI
2020-01-08 15:00:00,30.350000,3.081390,55.500000,18.756349,PI
2020-01-08 16:00:00,31.000000,3.390954,52.000000,19.865538,PI
2020-01-08 17:00:00,31.700000,3.466260,49.000000,20.011346,PI
2020-01-08 18:00:00,32.000000,3.611651,47.000000,20.591076,PI
2020-01-08 19:00:00,31.350000,3.624903,52.000000,20.940313,PI
2020-01-08 20:00:00,30.500000,3.440619,56.000000,20.788474,PI
2020-01-08 21:00:00,28.400000,3.105608,64.000000,20.696659,PI
2020-01-08 22:00:00,27.300000,2.570500,69.000000,19.315193,PI
2020-01-08 23:00:00,26.500000,2.186526,76.000000,17.653277,PI
2020-01-09 00:00:00,25.850000,1.948476,77.000000,16.432882,PI
2020-01-09 01:00:00,25.200000,1.813525,80.000000,15.568074,PI
2020-01-09 02:00:00,24.700000,1.811143,83.000000,15.071707,PI
2020-01-09 03:00:00,24.400000,1.790356,84.000000,13.842893,PI
2020-01-09 04:00:00,24.000000,1.820945,86.000000,13.609162,PI
2020-01-09 05:00:00,23.900000,2.147717,87.000000,14.055116,PI
2020-01-09 06:00:00,23.550000,2.091875,87.000000,13.199466,PI
2020-01-09 07:00:00,23.500000,1.855006,88.000000,11.927761,PI
2020-01-09 08:00:00,23.000000,1.771953,88.000000,11.388329,PI
2020-01-09 09:00:00,22.950000,1.367576,89.000000,10.334582,PI
2020-01-09 10:00:00,24.400000,1.370536,85.000000,11.754066,PI
2020-01-09 11:00:00,25.800000,1.579932,77.000000,13.188499,PI
2020-01-09 12:00:00,27.500000,1.745438,70.000000,14.017465,PI
2020-01-09 13:00:00,29.000000,2.114435,63.000000,14.890331,PI
2020-01-09 14:00:00,30.200000,2.373735,57.500000,14.924356,PI
2020-01-09 15:00:00,30.800000,2.627531,55.000000,15.575568,PI
2020-01-09 16:00:00,31.500000,2.757315,51.500000,16.433633,PI
2020-01-09 17:00:00,31.750000,2.990557,51.000000,18.332271,PI
2020-01-09 18:00:00,31.700000,3.035195,52.000000,18.436707,PI
2020-01-09 19:00:00,31.300000,3.200271,53.000000,19.104575,PI
2020-01-09 20:00:00,30.400000,3.240572,55.000000,19.472928,PI
2020-01-09 21:00:00,28.700000,2.954778,63.000000,19.210897,PI
2020-01-09 22:00:00,27.300000,2.515364,71.000000,18.594169,PI
2020-01-09 23:00:00,26.500000,2.324642,74.000000,17.861738,PI
2020-01-10 00:00:00,26.000000,2.090333,78.000000,16.817570,PI
2020-01-10 01:00:00,25.400000,2.037313,81.000000,16.394344,PI
2020-01-10 02:00:00,24.900000,1.990789,82.000000,15.403908,PI
2020-01-10 03:00:00,24.500000,1.945892,84.000000,14.645731,PI
2020-01-10 04:00:00,24.300000,1.907481,84.000000,14.239924,PI
2020-01-10 05:00:00,24.050000,1.895517,86.000000,13.122701,PI
2020-01-10 06:00:00,23.800000,1.787372,87.000000,12.026858,PI
2020-01-10 07:00:00,23.700000,1.659443,88.000000,11.081413,PI
2020-01-10 08:00:00,23.500000,1.606003,88.000000,10.733740,PI
2020-01-10 09:00:00,23.500000,1.459645,89.000000,10.186441,PI
2020-01-10 10:00:00,24.550000,1.497087,85.000000,11.474555,PI
2020-01-10 11:00:00,25.800000,1.910535,78.000000,12.703858,PI
2020-01-10 12:00:00,27.100000,2.156881,71.000000,13.294444,PI
2020-01-10 13:00:00,28.400000,2.411071,65.500000,13.709648,PI
2020-01-10 14:00:00,29.500000,2.794360,61.500000,15.346781,PI
2020-01-10 15:00:00,30.200000,3.074902,58.000000,16.475704,PI
2020-01-10 16:00:00,30.700000,3.180294,57.000000,16.924463,PI
2020-01-10 17:00:00,31.400000,3.271137,54.500000,17.128046,PI
2020-01-10 18:00:00,31.600000,3.383235,52.500000,17.422163,PI
2020-01-10 19:00:00,31.000000,3.374316,53.000000,17.655271,PI
2020-01-10 20:00:00,30.300000,3.416148,57.000000,18.241781,PI
2020-01-10 21:00:00,28.400000,3.104979,64.000000,18.430134,PI
2020-01-10 22:00:00,27.350000,2.494749,72.000000,16.210309,PI
2020-01-10 23:00:00,26.600000,2.303153,77.000000,15.859257,PI
2020-01-11 00:00:00,25.900000,2.176877,78.000000,14.759994,PI
2020-01-11 01:00:00,25.400000,2.069424,81.000000,13.673853,PI
2020-01-11 02:00:00,24.850000,2.102159,83.000000,13.110059,PI
2020-01-11 03:00:00,24.500000,1.924113,85.000000,11.916067,PI
2020-01-11 04:00:00,24.150000,1.816751,86.000000,11.555042,PI
2020-01-11 05:00:00,24.000000,1.698774,88.000000,11.117303,PI
2020-01-11 06:00:00,23.700000,1.617611,88.000000,10.349762,PI
2020-01-11 07:00:00,23.400000,1.578879,88.000000,10.201090,PI
2020-01-11 08:00:00,23.200000,1.579779,90.000000,9.505569,PI
2020-01-11 09:00:00,23.300000,1.442406,90.000000,8.891417,PI
2020-01-11 10:00:00,24.400000,1.484976,87.000000,9.803137,PI
2020-01-11 11:00:00,26.100000,1.829919,79.500000,11.598995,PI
2020-01-11 12:00:00,27.800000,1.990026,69.500000,11.919112,PI
2020-01-11 13:00:00,29.100000,2.087933,63.000000,12.760072,PI
2020-01-11 14:00:00,30.250000,2.329869,57.000000,13.657966,PI
2020-01-11 15:00:00,31.000000,2.612160,54.500000,14.997221,PI
2020-01-11 16:00:00,31.850000,2.852778,52.000000,15.864021,PI
2020-01-11 17:00:00,32.200000,3.043620,49.500000,16.775186,PI
2020-01-11 18:00:00,31.700000,3.338910,52.000000,18.003515,PI
2020-01-11 19:00:00,31.300000,3.515268,52.500000,18.709928,PI
2020-01-11 20:00:00,30.500000,3.554775,57.000000,19.324677,PI
2020-01-11 21:00:00,28.600000,3.187967,63.000000,18.216157,PI
2020-01-11 22:00:00,27.100000,2.766654,72.000000,17.531095,PI
2020-01-11 23:00:00,26.200000,2.428947,76.500000,16.452529,PI
2020-01-12 00:00:00,25.600000,2.204974,79.000000,15.430795,PI
2020-01-12 01:00:00,24.900000,2.144963,83.000000,15.364887,PI
2020-01-12 02:00:00,24.400000,2.033256,84.000000,14.251028,PI
2020-01-12 03:00:00,24.300000,1.929409,84.000000,13.197755,PI
2020-01-12 04:00:00,23.850000,1.801938,86.500000,12.184255,PI
2020-01-12 05:00:00,23.600000,1.807661,87.000000,12.075848,PI
2020-01-12 06:00:00,23.200000,1.755658,89.000000,11.628700,PI
2020-01-12 07:00:00,23.000000,1.750851,90.000000,11.133818,PI
2020-01-12 08:00:00,23.100000,1.747376,90.500000,11.181417,PI
2020-01-12 09:00:00,23.200000,1.642951,91.000000,10.324489,PI
2020-01-12 10:00:00,24.300000,1.630256,86.000000,10.905930,PI
2020-01-12 11:00:00,26.200000,1.768439,76.000000,11.791578,PI
2020-01-12 12:00:00,28.000000,1.779479,67.000000,12.068840,PI
2020-01-12 13:00:00,29.600000,1.820091,60.500000,11.920697,PI
2020-01-12 14:00:00,30.400000,1.990743,56.000000,12.119846,PI
2020-01-12 15:00:00,31.300000,2.096050,52.000000,12.413890,PI
2020-01-12 16:00:00,32.100000,2.533303,48.000000,14.636584,PI
2020-01-12 17:00:00,32.950000,2.965945,45.000000,16.347005,PI
2020-01-12 18:00:00,33.000000,3.180427,44.000000,17.486682,PI
2020-01-12 19:00:00,33.000000,3.260513,44.000000,18.018370,PI
2020-01-12 20:00:00,32.450000,3.658744,47.000000,19.470431,PI
2020-01-12 21:00:00,30.500000,3.352307,55.500000,18.895246,PI
2020-01-12 22:00:00,28.650000,2.870529,63.000000,18.001060,PI
2020-01-12 23:00:00,27.600000,2.502343,68.000000,16.281931,PI
2020-01-13 00:00:00,26.700000,2.277002,73.000000,15.612307,PI
2020-01-13 01:00:00,26.200000,2.202809,75.000000,15.342498,PI
2020-01-13 02:00:00,25.700000,1.936390,76.000000,13.812084,PI
2020-01-13 03:00:00,25.100000,1.761726,80.000000,12.930845,PI
2020-01-13 04:00:00,24.400000,1.679385,83.000000,12.382778,PI
