Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,22.600000,2.887738,87.000000,11.519077,PR
2020-01-01 01:00:00,22.000000,2.763123,89.000000,10.734436,PR
2020-01-01 02:00:00,21.900000,2.688642,90.000000,10.190529,PR
2020-01-01 03:00:00,21.650000,2.625548,91.000000,9.052765,PR
2020-01-01 04:00:00,21.300000,2.521483,92.000000,8.145063,PR
2020-01-01 05:00:00,21.000000,2.523885,93.000000,7.579087,PR
2020-01-01 06:00:00,21.000000,2.464470,94.000000,7.242736,PR
2020-01-01 07:00:00,20.800000,2.424630,94.000000,6.919234,PR
2020-01-01 08:00:00,20.800000,2.363995,94.000000,6.657775,PR
2020-01-01 09:00:00,20.700000,2.289763,94.000000,6.678900,PR
2020-01-01 10:00:00,21.700000,2.338763,91.000000,8.154524,PR
2020-01-01 11:00:00,23.100000,2.427359,85.000000,9.257585,PR
2020-01-01 12:00:00,24.500000,2.658185,77.500000,10.548794,PR
2020-01-01 13:00:00,25.800000,2.757458,72.500000,10.925584,PR
2020-01-01 14:00:00,27.050000,2.947025,68.000000,11.928264,PR
2020-01-01 15:00:00,28.000000,3.135951,63.000000,12.515884,PR
2020-01-01 16:00:00,28.400000,3.208425,62.000000,14.103906,PR
2020-01-01 17:00:00,28.800000,3.464880,61.000000,15.661840,PR
2020-01-01 18:00:00,28.100000,3.799153,63.000000,16.756191,PR
2020-01-01 19:00:00,27.750000,3.848643,65.000000,17.094266,PR
2020-01-01 20:00:00,26.900000,4.005903,70.000000,18.251557,PR
2020-01-01 21:00:00,26.100000,3.923349,74.000000,18.036435,PR
2020-01-01 22:00:00,24.300000,3.455233,79.000000,15.923219,PR
2020-01-01 23:00:00,23.000000,2.991073,87.000000,14.195222,PR
2020-01-02 00:00:00,22.600000,2.829513,90.000000,13.162633,PR
2020-01-02 01:00:00,22.200000,2.649032,89.000000,11.816675,PR
2020-01-02 02:00:00,21.800000,2.642816,91.000000,10.577653,PR
2020-01-02 03:00:00,21.450000,2.551846,92.000000,9.353017,PR
2020-01-02 04:00:00,21.050000,2.476987,93.000000,8.397439,PR
2020-01-02 05:00:00,21.000000,2.406450,94.000000,7.702037,PR
2020-01-02 06:00:00,20.800000,2.418169,94.000000,7.367260,PR
2020-01-02 07:00:00,20.600000,2.376079,94.000000,6.938795,PR
2020-01-02 08:00:00,20.300000,2.347365,95.000000,6.208169,PR
2020-01-02 09:00:00,20.600000,2.332458,95.000000,6.391375,PR
2020-01-02 10:00:00,21.500000,2.413033,93.000000,8.126698,PR
2020-01-02 11:00:00,23.000000,2.725785,86.000000,9.785259,PR
2020-01-02 12:00:00,24.400000,3.102133,80.500000,11.370362,PR
2020-01-02 13:00:00,25.500000,3.386981,75.500000,12.379661,PR
