Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,23.700000,3.254010,79.000000,17.251349,RS
2020-01-01 01:00:00,23.300000,3.181690,82.000000,15.967037,RS
2020-01-01 02:00:00,22.800000,3.136254,84.000000,14.817526,RS
2020-01-01 03:00:00,22.500000,3.057347,85.000000,14.182272,RS
2020-01-01 04:00:00,22.200000,2.949461,86.000000,13.269565,RS
2020-01-01 05:00:00,21.900000,2.930647,88.000000,12.800474,RS
2020-01-01 06:00:00,21.700000,2.894123,88.000000,12.215710,RS
2020-01-01 07:00:00,21.400000,2.811795,89.000000,11.103165,RS
2020-01-01 08:00:00,21.200000,2.819284,89.000000,10.597545,RS
2020-01-01 09:00:00,21.200000,2.781363,90.000000,10.256671,RS
2020-01-01 10:00:00,22.400000,2.743141,86.000000,11.343522,RS
2020-01-01 11:00:00,23.800000,2.938325,80.000000,12.705345,RS
2020-01-01 12:00:00,24.800000,3.237071,75.000000,14.224689,RS
2020-01-01 13:00:00,26.250000,3.504423,70.000000,15.647101,RS
2020-01-01 14:00:00,27.300000,3.774034,67.000000,17.101494,RS
2020-01-01 15:00:00,27.800000,3.951218,64.000000,18.498634,RS
2020-01-01 16:00:00,27.850000,4.045133,64.000000,19.745306,RS
2020-01-01 17:00:00,27.800000,4.092535,63.000000,20.297919,RS
2020-01-01 18:00:00,27.400000,4.005471,64.000000,20.806128,RS
2020-01-01 19:00:00,27.300000,4.065596,65.000000,20.826823,RS
2020-01-01 20:00:00,26.900000,4.251852,67.000000,21.692771,RS
2020-01-01 21:00:00,26.200000,4.277794,71.000000,21.416633,RS
2020-01-01 22:00:00,24.900000,3.989743,76.000000,19.679310,RS
2020-01-01 23:00:00,23.700000,3.579863,81.000000,17.564547,RS
2020-01-02 00:00:00,22.800000,3.336220,84.000000,16.342228,RS
2020-01-02 01:00:00,22.600000,3.165384,85.000000,14.896859,RS
2020-01-02 02:00:00,22.200000,3.046163,86.000000,14.275218,RS
2020-01-02 03:00:00,21.800000,2.947132,87.000000,13.106370,RS
2020-01-02 04:00:00,21.500000,2.920902,88.000000,12.003578,RS
2020-01-02 05:00:00,21.200000,2.878696,89.000000,11.024215,RS
2020-01-02 06:00:00,20.900000,2.867343,90.000000,10.675408,RS
2020-01-02 07:00:00,20.700000,2.901213,90.000000,10.164681,RS
2020-01-02 08:00:00,20.600000,2.912176,90.500000,9.729023,RS
2020-01-02 09:00:00,20.550000,2.950769,91.000000,9.602475,RS
2020-01-02 10:00:00,21.500000,2.949840,87.000000,10.964570,RS
