Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.300000,1.482209,82.000000,8.730682,SE
2020-01-01 01:00:00,23.900000,1.511418,85.000000,8.616860,SE
2020-01-01 02:00:00,23.700000,1.536265,86.000000,8.672330,SE
2020-01-01 03:00:00,23.400000,1.535447,88.000000,8.715765,SE
2020-01-01 04:00:00,23.400000,1.545124,88.000000,8.960230,SE
2020-01-01 05:00:00,23.050000,1.598702,89.500000,9.119289,SE
2020-01-01 06:00:00,22.900000,1.588221,90.000000,9.408768,SE
2020-01-01 07:00:00,22.700000,1.587328,91.500000,9.550678,SE
2020-01-01 08:00:00,22.550000,1.641198,92.000000,9.487374,SE
2020-01-01 09:00:00,23.150000,1.624851,92.000000,9.541188,SE
2020-01-01 10:00:00,25.200000,1.664280,83.000000,10.138585,SE
2020-01-01 11:00:00,26.700000,1.758706,72.000000,10.216804,SE
2020-01-01 12:00:00,28.300000,1.465264,62.000000,8.595982,SE
2020-01-01 13:00:00,29.500000,1.547902,55.500000,7.198765,SE
2020-01-01 14:00:00,30.700000,1.365378,52.000000,8.591002,SE
2020-01-01 15:00:00,30.750000,1.614332,50.500000,9.602360,SE
2020-01-01 16:00:00,31.100000,2.034545,47.000000,12.294492,SE
2020-01-01 17:00:00,31.100000,2.122958,48.000000,11.882761,SE
2020-01-01 18:00:00,31.000000,2.120397,50.000000,12.770953,SE
2020-01-01 19:00:00,29.600000,1.922709,55.000000,11.895354,SE
2020-01-01 20:00:00,28.100000,1.598804,61.000000,11.291520,SE
2020-01-01 21:00:00,26.950000,1.098384,69.000000,10.307815,SE
2020-01-01 22:00:00,25.900000,0.961156,74.500000,8.684115,SE
2020-01-01 23:00:00,24.950000,1.187752,78.500000,7.564801,SE
2020-01-02 00:00:00,24.450000,1.339896,81.500000,7.949763,SE
2020-01-02 01:00:00,24.350000,1.486904,84.000000,8.502798,SE
2020-01-02 02:00:00,24.150000,1.517793,85.000000,8.283143,SE
2020-01-02 03:00:00,24.150000,1.531039,86.000000,8.298475,SE
2020-01-02 04:00:00,23.500000,1.575009,87.000000,8.646305,SE
2020-01-02 05:00:00,23.300000,1.536575,89.000000,8.911774,SE
2020-01-02 06:00:00,23.200000,1.549390,90.000000,8.980874,SE
2020-01-02 07:00:00,23.100000,1.580367,90.000000,8.875700,SE
2020-01-02 08:00:00,22.750000,1.643228,90.500000,9.220796,SE
2020-01-02 09:00:00,23.250000,1.618039,89.000000,9.618892,SE
2020-01-02 10:00:00,25.300000,1.527544,79.000000,9.283082,SE
2020-01-02 11:00:00,27.050000,1.355646,67.500000,7.547594,SE
2020-01-02 12:00:00,28.800000,1.375996,59.000000,7.200449,SE
2020-01-02 13:00:00,30.000000,1.457114,55.000000,7.878625,SE
2020-01-02 14:00:00,31.000000,1.909485,50.000000,9.935296,SE
2020-01-02 15:00:00,31.300000,1.958102,47.000000,11.030170,SE
2020-01-02 16:00:00,31.800000,2.122951,48.000000,11.235541,SE
2020-01-02 17:00:00,31.500000,2.228946,48.000000,11.622202,SE
2020-01-02 18:00:00,30.500000,2.261027,51.000000,12.610840,SE
2020-01-02 19:00:00,29.700000,2.193263,53.000000,13.180744,SE
2020-01-02 20:00:00,28.100000,1.829959,60.000000,12.025585,SE
2020-01-02 21:00:00,27.000000,1.252201,66.500000,9.228369,SE
2020-01-02 22:00:00,25.900000,1.031778,70.500000,8.034413,SE
2020-01-02 23:00:00,25.200000,1.169301,75.000000,7.700513,SE
2020-01-03 00:00:00,24.500000,1.305582,79.500000,8.065404,SE
2020-01-03 01:00:00,24.150000,1.425812,83.000000,8.222173,SE
2020-01-03 02:00:00,23.900000,1.480549,85.000000,8.646369,SE
2020-01-03 03:00:00,23.600000,1.577570,87.000000,8.797651,SE
2020-01-03 04:00:00,23.350000,1.581572,88.000000,9.046146,SE
2020-01-03 05:00:00,23.100000,1.621344,89.000000,8.976935,SE
2020-01-03 06:00:00,23.050000,1.574669,90.000000,8.961688,SE
2020-01-03 07:00:00,22.750000,1.518054,91.000000,8.883849,SE
2020-01-03 08:00:00,22.400000,1.571744,92.000000,9.265857,SE
2020-01-03 09:00:00,23.400000,1.518536,91.000000,9.685921,SE
2020-01-03 10:00:00,25.650000,1.470257,79.000000,8.732440,SE
2020-01-03 11:00:00,27.500000,1.661265,67.000000,7.503488,SE
2020-01-03 12:00:00,29.100000,1.768944,58.000000,6.541476,SE
2020-01-03 13:00:00,30.200000,1.777292,52.000000,6.960785,SE
2020-01-03 14:00:00,31.100000,1.635483,49.000000,7.107046,SE
2020-01-03 15:00:00,31.400000,1.316367,46.000000,8.486888,SE
2020-01-03 16:00:00,31.700000,1.979779,43.000000,10.511033,SE
2020-01-03 17:00:00,31.550000,1.959872,44.500000,11.457339,SE
2020-01-03 18:00:00,30.900000,2.178637,47.000000,13.030733,SE
2020-01-03 19:00:00,29.950000,2.026966,51.000000,13.992008,SE
2020-01-03 20:00:00,28.400000,1.862148,59.000000,10.667532,SE
2020-01-03 21:00:00,27.200000,1.283110,64.000000,9.364753,SE
2020-01-03 22:00:00,26.000000,1.251086,70.000000,8.316084,SE
2020-01-03 23:00:00,25.100000,1.227491,76.000000,7.897951,SE
2020-01-04 00:00:00,24.850000,1.613308,79.500000,9.421847,SE
2020-01-04 01:00:00,24.500000,1.624731,83.000000,7.784444,SE
2020-01-04 02:00:00,24.250000,1.743813,84.500000,7.868253,SE
2020-01-04 03:00:00,24.250000,1.840574,86.000000,8.355626,SE
2020-01-04 04:00:00,23.850000,1.955903,87.000000,8.477339,SE
2020-01-04 05:00:00,23.500000,1.906412,88.000000,9.014764,SE
2020-01-04 06:00:00,23.450000,1.849596,88.000000,8.876001,SE
2020-01-04 07:00:00,23.300000,1.831504,88.500000,9.321463,SE
2020-01-04 08:00:00,23.200000,1.863432,90.000000,9.186284,SE
2020-01-04 09:00:00,23.850000,1.699498,88.500000,9.221906,SE
2020-01-04 10:00:00,25.650000,1.458853,76.500000,9.468819,SE
2020-01-04 11:00:00,27.800000,1.343676,64.500000,6.349161,SE
2020-01-04 12:00:00,29.400000,1.342208,57.500000,6.339038,SE
2020-01-04 13:00:00,30.250000,1.397875,52.000000,6.916407,SE
2020-01-04 14:00:00,31.250000,1.421347,48.500000,8.046213,SE
2020-01-04 15:00:00,32.200000,1.583802,45.500000,9.640252,SE
2020-01-04 16:00:00,32.500000,1.757918,43.000000,11.436815,SE
2020-01-04 17:00:00,31.500000,2.528465,48.500000,14.487948,SE
2020-01-04 18:00:00,31.000000,2.845756,51.500000,15.483248,SE
2020-01-04 19:00:00,29.700000,2.385559,56.000000,13.347669,SE
2020-01-04 20:00:00,28.200000,1.753358,59.000000,10.563052,SE
2020-01-04 21:00:00,26.900000,1.272666,67.000000,9.162795,SE
2020-01-04 22:00:00,25.900000,1.282215,72.000000,8.794504,SE
2020-01-04 23:00:00,25.100000,1.244211,77.000000,7.710501,SE
2020-01-05 00:00:00,24.800000,1.305165,79.000000,7.469688,SE
2020-01-05 01:00:00,24.500000,1.397316,81.000000,7.395563,SE
2020-01-05 02:00:00,24.200000,1.479064,83.000000,7.448011,SE
2020-01-05 03:00:00,24.100000,1.550015,85.000000,8.044175,SE
2020-01-05 04:00:00,23.950000,1.595145,85.000000,8.497899,SE
2020-01-05 05:00:00,23.700000,1.594518,87.000000,8.689354,SE
2020-01-05 06:00:00,23.600000,1.683521,88.000000,9.174727,SE
2020-01-05 07:00:00,23.600000,1.689851,88.000000,8.989018,SE
2020-01-05 08:00:00,23.250000,1.735039,87.500000,8.528948,SE
2020-01-05 09:00:00,23.800000,1.737418,87.000000,9.074824,SE
2020-01-05 10:00:00,25.250000,1.316491,78.500000,8.072587,SE
2020-01-05 11:00:00,26.900000,1.259860,66.000000,7.765457,SE
2020-01-05 12:00:00,28.500000,0.996448,59.000000,7.343519,SE
2020-01-05 13:00:00,29.800000,1.010765,55.000000,6.811829,SE
2020-01-05 14:00:00,30.600000,1.054706,50.000000,6.592542,SE
2020-01-05 15:00:00,31.250000,1.314939,48.500000,8.317180,SE
2020-01-05 16:00:00,31.400000,1.426810,46.000000,9.114958,SE
2020-01-05 17:00:00,31.350000,1.358948,46.000000,9.577629,SE
2020-01-05 18:00:00,30.350000,1.557718,47.500000,10.614198,SE
2020-01-05 19:00:00,29.600000,1.535639,53.500000,11.019358,SE
2020-01-05 20:00:00,28.200000,1.122184,58.000000,9.881753,SE
2020-01-05 21:00:00,27.000000,0.702046,65.000000,8.446169,SE
2020-01-05 22:00:00,25.900000,0.817139,70.500000,7.160941,SE
2020-01-05 23:00:00,25.100000,1.077335,76.000000,7.020169,SE
2020-01-06 00:00:00,24.700000,1.297738,78.500000,7.221466,SE
2020-01-06 01:00:00,24.500000,1.436990,81.000000,7.588314,SE
2020-01-06 02:00:00,24.150000,1.521104,84.000000,8.626469,SE
2020-01-06 03:00:00,23.750000,1.586618,85.000000,8.758294,SE
2020-01-06 04:00:00,23.600000,1.646489,86.500000,8.756393,SE
2020-01-06 05:00:00,23.500000,1.660154,87.000000,9.027827,SE
2020-01-06 06:00:00,23.200000,1.682589,89.000000,9.598069,SE
2020-01-06 07:00:00,22.900000,1.720208,91.000000,9.234307,SE
2020-01-06 08:00:00,22.750000,1.847013,91.000000,9.526325,SE
2020-01-06 09:00:00,23.500000,1.756072,90.000000,9.685875,SE
2020-01-06 10:00:00,25.000000,1.506865,80.000000,10.152055,SE
2020-01-06 11:00:00,26.900000,1.347152,68.000000,9.265827,SE
2020-01-06 12:00:00,28.700000,1.419265,59.000000,10.207296,SE
2020-01-06 13:00:00,29.800000,1.544698,53.000000,11.408308,SE
