Marcacao,temp_med,temp_std,umd_median,umd_std,UF
2020-01-01 00:00:00,24.600000,1.680733,87.000000,10.108408,TO
2020-01-01 01:00:00,24.200000,1.523917,89.000000,9.284064,TO
2020-01-01 02:00:00,23.700000,1.441468,89.000000,9.270263,TO
2020-01-01 03:00:00,23.400000,1.419407,90.000000,8.896968,TO
2020-01-01 04:00:00,23.100000,1.340751,91.000000,7.555045,TO
2020-01-01 05:00:00,22.900000,1.346997,91.500000,6.957854,TO
2020-01-01 06:00:00,22.800000,1.256755,92.000000,7.152086,TO
2020-01-01 07:00:00,22.700000,1.219725,93.000000,6.802942,TO
2020-01-01 08:00:00,22.500000,1.204561,93.000000,6.618822,TO
2020-01-01 09:00:00,22.500000,1.216147,93.000000,6.002633,TO
2020-01-01 10:00:00,23.200000,1.367841,91.000000,7.825510,TO
2020-01-01 11:00:00,24.800000,1.636013,83.000000,9.585231,TO
2020-01-01 12:00:00,26.500000,1.950476,76.000000,11.376166,TO
2020-01-01 13:00:00,27.500000,2.102527,72.000000,11.264896,TO
2020-01-01 14:00:00,28.800000,2.378937,67.000000,12.281925,TO
2020-01-01 15:00:00,29.800000,2.648665,63.000000,12.855651,TO
2020-01-01 16:00:00,30.100000,2.720277,60.000000,12.871851,TO
2020-01-01 17:00:00,30.600000,2.997933,58.000000,14.489169,TO
2020-01-01 18:00:00,30.550000,3.069296,60.000000,15.314611,TO
2020-01-01 19:00:00,30.200000,3.163265,62.500000,15.409650,TO
2020-01-01 20:00:00,29.250000,2.838151,67.000000,13.708682,TO
2020-01-01 21:00:00,27.950000,2.517640,75.000000,12.940151,TO
2020-01-01 22:00:00,26.100000,1.938441,79.000000,10.272015,TO
2020-01-01 23:00:00,25.000000,1.644948,85.000000,10.004495,TO
2020-01-02 00:00:00,24.400000,1.523430,86.000000,9.175564,TO
2020-01-02 01:00:00,24.100000,1.362109,88.000000,8.306498,TO
2020-01-02 02:00:00,23.900000,1.292436,90.000000,7.643115,TO
2020-01-02 03:00:00,23.600000,1.270704,91.000000,6.936781,TO
2020-01-02 04:00:00,23.300000,1.244123,91.000000,6.516839,TO
2020-01-02 05:00:00,23.200000,1.212920,91.000000,6.108626,TO
2020-01-02 06:00:00,23.000000,1.236380,91.500000,5.382183,TO
2020-01-02 07:00:00,22.800000,1.220467,92.000000,5.304090,TO
2020-01-02 08:00:00,22.700000,1.198597,93.000000,5.423595,TO
2020-01-02 09:00:00,22.600000,1.187683,93.000000,5.687598,TO
2020-01-02 10:00:00,23.600000,1.067881,91.000000,7.348432,TO
2020-01-02 11:00:00,25.500000,1.429309,83.000000,8.670314,TO
2020-01-02 12:00:00,27.000000,1.833555,76.000000,10.488057,TO
2020-01-02 13:00:00,28.400000,2.244709,70.000000,11.747489,TO
2020-01-02 14:00:00,29.500000,2.475200,66.000000,12.694004,TO
2020-01-02 15:00:00,30.450000,2.962356,60.000000,14.187779,TO
2020-01-02 16:00:00,30.900000,3.235589,58.000000,16.055746,TO
2020-01-02 17:00:00,31.200000,3.241013,56.000000,16.135791,TO
2020-01-02 18:00:00,30.400000,3.419097,59.500000,16.795784,TO
2020-01-02 19:00:00,30.000000,3.463616,61.000000,17.631076,TO
2020-01-02 20:00:00,29.800000,3.464324,63.000000,18.177462,TO
2020-01-02 21:00:00,28.200000,3.028053,70.500000,16.041645,TO
2020-01-02 22:00:00,25.950000,2.198326,80.000000,12.114991,TO
2020-01-02 23:00:00,25.200000,1.800931,84.000000,11.143976,TO
2020-01-03 00:00:00,24.500000,1.635057,87.000000,10.019113,TO
2020-01-03 01:00:00,24.200000,1.370516,89.000000,8.828839,TO
2020-01-03 02:00:00,23.900000,1.320191,90.000000,8.598427,TO
2020-01-03 03:00:00,23.700000,1.176688,90.000000,8.247266,TO
2020-01-03 04:00:00,23.500000,1.147393,91.000000,7.511808,TO
2020-01-03 05:00:00,23.300000,1.112948,91.000000,6.642558,TO
2020-01-03 06:00:00,22.900000,1.084477,92.000000,6.429745,TO
2020-01-03 07:00:00,22.800000,1.097504,93.000000,6.361256,TO
2020-01-03 08:00:00,22.700000,1.104085,93.000000,5.767857,TO
2020-01-03 09:00:00,22.600000,1.075994,93.000000,5.482979,TO
2020-01-03 10:00:00,23.500000,1.082699,91.000000,6.708615,TO
2020-01-03 11:00:00,25.100000,1.518818,83.500000,8.514940,TO
2020-01-03 12:00:00,26.500000,1.872667,76.500000,10.501028,TO
2020-01-03 13:00:00,27.900000,2.120531,71.000000,11.456995,TO
2020-01-03 14:00:00,28.750000,2.362321,67.500000,12.354831,TO
2020-01-03 15:00:00,29.400000,2.790502,65.500000,13.886575,TO
2020-01-03 16:00:00,29.650000,3.293685,64.000000,15.948942,TO
2020-01-03 17:00:00,29.750000,3.338444,63.500000,15.972785,TO
